time,open,high,low,close,volume
1388988060000,35.399,35.399,35.399,35.399,700
1388988420000,35.201,35.201,35.201,35.201,4200
1388988480000,35.2,35.2,35.2,35.2,100
1388988540000,35.001,35.001,35.001,35.001,500
1388988600000,35.001,35.001,35.001,35.001,4500
1388988720000,35.001,35.001,35.001,35.001,2400
1388988780000,35.003,35.003,35.003,35.003,500
1388988840000,35.002,35.002,35.0,35.0,800
1388988900000,35.0,35.002,35.0,35.002,4800
1388988960000,35.03,35.2,35.02,35.02,3400
1388989020000,35.002,35.002,35.0,35.001,1400
1388989200000,35.0,35.0,35.0,35.0,100
1388989500000,35.002,35.002,35.002,35.002,100
1388989560000,35.002,35.198,35.002,35.198,1000
1388989620000,35.002,35.002,34.9,34.9,400
1388989680000,35.199,35.199,35.199,35.199,100
1388989920000,35.199,35.201,35.199,35.2,5100
1388990040000,35.2,35.2,35.2,35.2,2900
1388990760000,35.103,35.103,35.103,35.103,100
1388990940000,35.375,35.376,35.375,35.376,8000
1388991660000,35.181,35.181,35.181,35.181,600
1388991720000,35.181,35.181,35.181,35.181,600
1388991780000,35.102,35.102,35.1,35.102,3600
1388991900000,35.102,35.102,35.1,35.1,5900
1388992020000,35.102,35.102,35.102,35.102,500
1388992140000,35.102,35.102,35.102,35.102,400
1388992380000,35.111,35.111,35.1,35.1,2500
1388992440000,35.1,35.1,35.1,35.1,400
1388992800000,35.11,35.111,35.11,35.111,700
1388992980000,35.101,35.101,35.101,35.101,1600
1388993040000,35.101,35.101,35.101,35.101,2000
1388993160000,35.101,35.101,35.101,35.101,900
1388993220000,35.1,35.1,35.1,35.1,2700
1388993280000,35.1,35.1,35.1,35.1,300
1388993340000,35.1,35.1,34.95,34.95,2000
1388993940000,35.006,35.006,35.0,35.0,3400
1388994060000,35.0,35.0,35.0,35.0,3300
1388994120000,35.0,35.0,35.0,35.0,3300
1388994180000,35.273,35.273,35.117,35.117,200
1388994840000,35.08,35.08,35.01,35.01,5300
1388994900000,34.981,34.981,34.981,34.981,300
1388995140000,34.981,34.981,34.904,34.904,2000
1388995200000,34.904,34.904,34.9,34.901,3800
1388995260000,34.9,34.901,34.9,34.9,1500
1388995320000,34.901,34.901,34.901,34.901,100
1388995500000,34.901,34.95,34.883,34.883,21800
1388995800000,34.859,34.859,34.853,34.853,900
1388995920000,34.73,34.73,34.73,34.73,300
1388996100000,34.724,34.724,34.724,34.724,400
1388996160000,34.723,34.723,34.723,34.723,800
1388996220000,34.723,34.723,34.72,34.72,1100
1388996340000,34.9,34.916,34.778,34.778,5100
1388996400000,34.822,34.822,34.822,34.822,400
1388996460000,34.822,34.859,34.821,34.821,2500
1388996520000,34.815,34.821,34.815,34.815,1100
1388996580000,34.815,34.815,34.728,34.728,1200
1388996640000,34.762,34.762,34.762,34.762,100
1388996820000,34.869,34.889,34.869,34.889,1000
1388997060000,34.777,34.777,34.777,34.777,400
1388997120000,34.777,34.777,34.728,34.728,2300
1388997180000,34.728,34.729,34.728,34.728,1600
1388997420000,34.777,34.777,34.777,34.777,100
1388997600000,34.78,34.78,34.78,34.78,1200
1388997840000,34.78,34.78,34.78,34.78,2900
1388997900000,34.815,34.815,34.78,34.78,1800
1388997960000,34.78,34.78,34.78,34.78,1000
1388998020000,34.78,34.78,34.78,34.78,200
1388998080000,34.78,34.78,34.78,34.78,1100
1388998140000,34.751,34.751,34.745,34.745,5600
1388998200000,34.745,34.745,34.745,34.745,100
1388998320000,34.745,34.745,34.72,34.72,4800
1388998380000,34.72,34.75,34.72,34.75,4100
1388998440000,34.72,34.72,34.681,34.681,5400
1388998500000,34.681,34.686,34.68,34.68,3900
1388998560000,34.68,34.68,34.68,34.68,100
1388998620000,34.68,34.68,34.663,34.663,1400
1388998680000,34.663,34.675,34.651,34.651,4300
1388998740000,34.651,34.651,34.651,34.651,1100
1388998800000,34.651,34.651,34.362,34.364,16600
1388998860000,34.363,34.388,34.35,34.35,3000
1388999220000,34.367,34.367,34.365,34.365,200
1388999280000,34.364,34.364,34.35,34.35,1600
1388999340000,34.35,34.35,34.35,34.35,2400
1388999400000,34.363,34.363,34.35,34.363,3800
1388999640000,34.304,34.36,34.3,34.3,4900
1389000000000,34.311,34.325,34.304,34.304,3100
1389000060000,34.304,34.304,34.251,34.251,1600
1389000120000,34.253,34.253,34.25,34.25,2600
1389000180000,34.268,34.268,34.25,34.25,1000
1389000240000,34.268,34.268,34.25,34.25,1400
