time,open,high,low,close,volume
1641182340000,153.59,153.59,153.59,153.59,3440
1641182400000,153.62,154.1,153.51,153.79,51530
1641182460000,153.8,153.84,153.51,153.51,1100
1641182520000,153.74,153.83,153.6,153.83,300
1641182580000,153.83,154.0,153.83,153.98,11070
1641182640000,153.97,154.0,153.63,153.97,6000
1641182700000,153.68,153.82,153.68,153.82,80
1641182760000,153.82,153.96,153.82,153.96,210
1641182820000,153.96,153.96,153.65,153.69,2560
1641182880000,153.7,153.96,153.7,153.94,190
1641182940000,153.95,153.95,153.88,153.94,100
1641183000000,153.71,153.93,153.71,153.71,370
1641183060000,153.71,153.91,153.71,153.89,490
1641183120000,153.89,153.89,153.7,153.87,330
1641183180000,153.87,153.87,153.8,153.8,20
1641183240000,153.81,153.81,153.65,153.75,960
1641183300000,153.64,153.75,153.64,153.75,190
1641183360000,153.75,153.75,153.7,153.75,80
1641183420000,153.74,153.78,153.74,153.74,950
1641183480000,153.74,153.96,153.74,153.95,2430
1641183540000,153.88,153.95,153.88,153.93,270
1641183600000,153.93,153.93,153.93,153.93,80
1641183660000,153.74,153.94,153.71,153.71,2120
1641183720000,153.87,153.87,153.87,153.87,20
1641183780000,153.85,153.85,153.61,153.85,1130
1641183840000,153.83,153.84,153.83,153.84,20
1641183900000,153.79,153.85,153.67,153.67,570
1641183960000,153.67,153.67,153.51,153.65,1590
1641184020000,153.65,153.66,153.3,153.64,11580
1641184080000,153.8,153.8,153.44,153.44,20
1641184140000,153.67,153.67,153.46,153.67,90
1641184200000,153.67,153.79,153.67,153.79,80
1641184260000,153.78,153.95,153.52,153.94,2160
1641184320000,153.93,153.94,153.93,153.93,290
1641184380000,153.66,153.88,153.64,153.65,70
1641184440000,153.77,153.88,153.77,153.86,510
1641184500000,153.65,153.81,153.6,153.81,270
1641184560000,153.64,153.85,153.64,153.65,80
1641184620000,153.84,153.86,153.84,153.86,70
1641184680000,153.85,153.85,153.85,153.85,20
1641184740000,153.66,153.85,153.6,153.85,510
1641184800000,153.63,153.82,153.62,153.82,170
1641184860000,153.79,153.82,153.79,153.82,230
1641184920000,153.82,153.82,153.82,153.82,100
1641184980000,153.8,153.85,153.8,153.85,660
1641185040000,153.84,153.85,153.65,153.84,960
1641185100000,153.84,153.86,153.65,153.75,480
1641185160000,153.75,153.81,153.66,153.81,370
1641185220000,153.8,153.82,153.65,153.65,1050
1641185280000,153.66,153.84,153.66,153.7,1050
1641185340000,153.85,153.86,153.71,153.86,60
1641185400000,153.71,153.86,153.68,153.72,1180
1641185460000,153.81,153.86,153.65,153.77,3180
1641185520000,153.83,153.84,153.75,153.75,80
1641185640000,153.75,153.83,153.75,153.83,240
1641185700000,153.75,153.84,153.75,153.84,360
1641185760000,153.76,153.82,153.75,153.82,830
1641185820000,153.75,153.75,153.75,153.75,20
1641185880000,153.82,153.82,153.75,153.82,270
1641185940000,153.75,153.82,153.75,153.82,190
1641186000000,153.75,153.88,153.71,153.85,1680
1641186060000,153.85,153.88,153.82,153.88,180
1641186120000,153.81,153.88,153.81,153.81,140
1641186180000,153.85,153.85,153.85,153.85,80
1641186240000,153.85,153.85,153.81,153.81,170
1641186300000,153.81,153.81,153.81,153.81,70
1641186360000,153.81,154.13,153.81,154.13,21800
1641186420000,153.92,154.17,153.88,154.02,580
1641186480000,154.02,154.2,153.98,154.11,3530
1641186540000,154.08,154.11,154.02,154.03,210
1641186600000,154.11,154.11,153.92,154.09,980
1641186660000,154.09,154.13,154.0,154.13,1190
1641186720000,154.0,154.2,153.99,154.19,1070
1641186780000,154.18,154.2,154.15,154.2,390
1641186900000,154.19,154.19,154.07,154.07,40
1641186960000,154.18,154.19,154.18,154.19,30
1641187020000,154.18,154.18,154.1,154.1,70
1641187080000,154.12,154.12,153.9,153.97,2630
1641187140000,153.97,154.15,153.97,154.14,740
1641187200000,154.02,154.15,153.99,154.15,220
1641187260000,154.14,154.15,153.99,154.0,580
1641187320000,154.07,154.1,154.07,154.1,140
1641187380000,154.04,154.15,154.03,154.15,1680
1641187440000,154.12,154.2,154.03,154.03,1220
1641187500000,154.04,154.18,154.04,154.16,90
1641187560000,154.06,154.19,154.06,154.19,280
