time,open,high,low,close,volume
1514962740000,147.35,147.35,147.35,147.35,640
1514963100000,147.82,148.94,147.71,148.94,12160
1514963160000,148.31,148.5,148.31,148.44,1690
1514963220000,148.5,148.87,148.4,148.46,5610
1514963280000,148.32,148.32,148.25,148.28,1570
1514963400000,148.3,148.3,148.3,148.3,90
1514963520000,148.3,148.3,148.3,148.3,150
1514963580000,148.4,148.4,148.36,148.36,180
1514963640000,148.29,148.45,148.29,148.45,950
1514963700000,148.33,148.5,148.3,148.5,1500
1514963760000,148.35,148.5,148.35,148.37,4950
1514963820000,148.37,148.37,148.37,148.37,1000
1514963940000,148.46,148.59,148.46,148.46,2010
1514964000000,148.37,148.46,148.29,148.46,1750
1514964180000,148.42,148.45,148.08,148.45,18180
1514964240000,148.13,148.4,148.12,148.4,310
1514964300000,148.34,148.35,148.34,148.35,1120
1514964360000,148.13,148.13,148.0,148.0,7640
1514964420000,148.11,148.11,147.74,147.75,13870
1514964480000,147.97,148.35,147.97,148.35,1230
1514964540000,148.38,148.4,148.21,148.21,830
1514964600000,148.05,148.3,147.7,148.28,8460
1514964660000,148.25,148.39,147.95,147.95,1110
1514964720000,148.15,148.15,147.97,147.98,1110
1514964780000,148.1,148.1,148.1,148.1,80
1514964840000,148.06,148.2,148.06,148.06,160
1514964900000,148.2,148.34,148.08,148.33,940
1514964960000,148.33,148.35,148.15,148.35,920
1514965020000,148.27,148.35,148.02,148.13,3220
1514965080000,148.2,148.32,148.01,148.07,890
1514965140000,148.24,148.24,148.24,148.24,10
1514965200000,148.16,148.22,148.15,148.22,4840
1514965260000,148.31,148.33,148.18,148.33,5980
1514965320000,148.22,148.3,147.96,147.98,10670
1514965380000,148.17,148.17,148.0,148.0,110
1514965440000,148.17,148.17,148.09,148.16,150
1514965500000,148.18,148.18,148.13,148.15,190
1514965560000,148.2,148.29,148.13,148.19,1690
1514965620000,148.29,148.3,148.19,148.2,60
1514965680000,148.24,148.32,148.24,148.32,2200
1514965740000,148.27,148.29,148.11,148.11,1190
1514965860000,148.12,148.32,148.11,148.11,1730
1514965920000,148.31,148.33,148.14,148.25,1230
1514965980000,148.32,148.32,148.25,148.25,1110
1514966100000,148.32,148.46,148.25,148.25,20850
1514966160000,148.4,148.69,148.15,148.49,29990
1514966220000,148.49,148.7,148.39,148.47,3200
1514966280000,148.58,148.58,148.45,148.48,170
1514966340000,148.5,148.6,148.5,148.51,640
1514966400000,148.6,148.74,148.45,148.46,11170
1514966460000,148.52,148.52,148.41,148.52,3650
1514966520000,148.57,148.58,148.27,148.33,7010
1514966580000,148.52,148.58,148.52,148.58,60
1514966640000,148.46,148.46,148.27,148.27,870
1514966700000,148.54,148.61,148.41,148.41,110
1514966760000,148.61,148.61,148.28,148.28,1940
1514966820000,148.3,148.46,148.22,148.22,2590
1514966880000,148.36,148.94,148.26,148.5,77830
1514966940000,148.6,148.6,148.6,148.6,30
1514967000000,148.52,148.61,148.22,148.22,9940
1514967060000,148.5,148.5,148.39,148.39,110
1514967120000,148.39,148.39,148.23,148.34,70
1514967180000,148.41,148.41,148.2,148.2,4140
1514967240000,148.4,148.4,148.4,148.4,40
1514967300000,148.29,148.29,148.02,148.12,5230
1514967360000,148.12,148.12,148.0,148.0,9130
1514967420000,148.0,148.16,147.85,147.9,24160
1514967480000,148.0,148.0,148.0,148.0,50
1514967540000,148.0,148.08,147.94,147.94,810
1514967600000,148.08,148.31,148.05,148.05,1220
1514967660000,148.05,148.35,147.9,147.95,9240
1514967720000,148.17,148.65,148.08,148.34,13880
1514967780000,148.67,148.84,148.43,148.57,19500
1514967840000,148.53,148.71,148.53,148.61,2340
1514967900000,148.59,148.68,148.58,148.6,12610
1514967960000,148.61,148.84,148.61,148.74,20890
1514968020000,148.73,148.82,148.61,148.82,270
1514968080000,148.8,148.8,148.58,148.63,1630
1514968200000,148.75,148.9,148.7,148.8,11910
1514968260000,148.84,148.9,148.8,148.8,3330
1514968320000,148.81,148.93,148.8,148.82,8020
1514968380000,148.9,149.01,148.75,148.86,35260
1514968440000,149.02,149.44,148.9,149.41,33100
1514968500000,149.38,149.49,149.21,149.29,8580
1514968560000,149.29,149.43,149.17,149.22,7450
1514968620000,149.42,149.44,149.22,149.37,630
1514968680000,149.36,149.47,149.3,149.47,1760
1514968740000,149.45,149.58,149.3,149.38,19280
1514968800000,149.55,149.55,149.38,149.49,660
1514968860000,149.52,149.57,149.39,149.49,2030
1514968920000,149.5,149.55,149.32,149.48,1860
1514968980000,149.44,149.46,149.24,149.26,1660
1514969040000,149.4,149.43,149.16,149.4,6720
1514969100000,149.32,149.39,148.91,149.39,20490
1514969160000,149.17,149.25,148.99,148.99,8780
1514969220000,149.08,149.2,148.92,149.11,3690
1514969280000,149.02,149.14,148.93,148.93,1390
1514969340000,149.1,149.28,148.93,149.1,4140
1514969400000,148.97,149.2,148.96,149.08,2260
1514969460000,149.05,149.23,148.97,148.97,1800
1514969520000,149.12,149.13,148.97,148.97,2010
1514969580000,149.0,149.01,148.95,148.95,4820
1514969640000,149.0,149.03,149.0,149.03,60
1514969700000,149.08,149.08,148.95,149.01,1960
1514969760000,149.0,149.0,148.73,148.74,11960
1514969820000,148.74,148.91,148.73,148.73,2590
1514969880000,148.77,148.93,148.73,148.93,850
1514969940000,148.74,148.91,148.73,148.81,850
1514970000000,148.8,148.87,148.73,148.73,140
1514970120000,148.95,148.95,148.71,148.71,6160
1514970180000,148.74,148.74,148.74,148.74,410
1514970240000,148.8,148.83,148.52,148.52,9680
1514970300000,148.74,148.82,148.55,148.55,1950
1514970360000,148.56,148.56,148.52,148.52,840
1514970420000,148.54,148.64,148.53,148.53,900
1514970480000,148.58,148.62,148.52,148.62,1550
1514970600000,148.65,148.74,148.54,148.55,1100
1514970660000,148.6,148.6,148.6,148.6,20
1514970720000,148.61,148.61,148.61,148.61,530
1514970840000,148.62,148.62,148.61,148.61,410
1514970900000,148.61,148.67,148.61,148.67,40
1514970960000,148.75,148.89,148.64,148.72,4540
1514971080000,148.76,148.76,148.58,148.58,7470
1514971140000,148.58,148.63,148.58,148.59,1060
1514971200000,148.63,148.75,148.59,148.62,8040
1514971260000,148.64,148.64,148.5,148.5,12360
1514971440000,148.69,148.69,148.41,148.41,4790
1514971620000,148.42,148.42,148.3,148.31,11910
1514971680000,148.32,148.32,148.2,148.2,1290
1514971740000,148.36,148.45,148.23,148.23,7030
1514971800000,148.39,148.4,148.25,148.3,1290
1514971860000,148.39,148.4,148.29,148.29,500
1514971920000,148.31,148.52,148.3,148.33,6380
1514971980000,148.51,148.51,148.36,148.36,120
1514972100000,148.51,148.52,148.4,148.42,2530
1514972160000,148.44,148.44,148.4,148.4,550
1514972220000,148.51,148.52,148.42,148.42,1000
1514972280000,148.45,148.6,148.42,148.45,8940
1514972340000,148.66,148.69,148.52,148.52,170
1514972400000,148.72,148.73,148.58,148.58,220
1514972460000,148.78,148.86,148.62,148.85,1140
1514972520000,148.82,148.84,148.65,148.82,240
1514972640000,148.82,148.85,148.72,148.72,260
1514972760000,148.83,148.99,148.74,148.78,8500
1514972880000,148.93,148.93,148.74,148.74,1180
1514972940000,148.92,148.92,148.75,148.78,40
1514973000000,148.78,148.78,148.75,148.78,2360
1514973120000,148.83,148.83,148.83,148.83,10
1514973240000,148.91,148.91,148.77,148.91,1030
1514973300000,148.82,148.94,148.81,148.94,170
1514973360000,148.87,148.87,148.87,148.87,30
1514973420000,148.93,148.99,148.84,148.84,3950
1514973480000,148.86,148.99,148.86,148.88,1390
1514973540000,148.98,148.99,148.9,148.9,420
1514973600000,148.92,148.99,148.88,148.88,1860
1514973720000,148.89,148.89,148.85,148.86,2980
1514973780000,148.87,148.87,148.75,148.75,4880
1514973840000,148.75,148.75,148.52,148.53,14570
1514973900000,148.58,148.69,148.54,148.55,1890
1514973960000,148.55,148.78,148.55,148.55,6500
1514974020000,148.63,148.64,148.56,148.64,40
1514974140000,148.59,148.59,148.59,148.59,1210
1514974200000,148.59,148.66,148.59,148.6,610
1514974260000,148.6,148.6,148.55,148.55,1730
1514974320000,148.56,148.56,148.55,148.56,990
1514974380000,148.64,148.85,148.57,148.78,4140
1514974440000,148.78,148.78,148.64,148.65,400
1514974500000,148.65,148.72,148.64,148.72,1160
1514974560000,148.75,148.79,148.58,148.58,1960
1514974680000,148.66,148.66,148.62,148.62,120
1514974740000,148.65,148.74,148.63,148.63,120
1514974800000,148.64,148.65,148.57,148.65,2840
1514974860000,148.71,148.72,148.64,148.64,70
1514974980000,148.76,148.77,148.66,148.75,170
1514975100000,148.86,149.19,148.78,149.03,16470
1514975160000,149.13,149.14,148.98,148.98,760
1514975220000,149.05,149.15,148.97,149.02,2440
1514975280000,149.01,149.01,148.77,148.79,5390
1514975400000,148.75,148.9,148.75,148.77,2620
1514975520000,148.91,148.95,148.79,148.79,990
1514975580000,148.79,148.79,148.77,148.79,480
1514975640000,148.9,148.9,148.9,148.9,90
1514975760000,148.78,148.78,148.77,148.77,840
1514975820000,148.77,148.88,148.75,148.75,630
1514975880000,148.76,148.76,148.75,148.75,460
1514976000000,148.75,148.75,148.55,148.58,6110
1514976060000,148.56,148.56,148.55,148.55,2230
1514976120000,148.65,148.65,148.55,148.55,260
1514976180000,148.6,148.68,148.6,148.6,390
1514976300000,148.74,148.74,148.74,148.74,10
1514976360000,148.7,148.7,148.5,148.52,15980
1514976420000,148.57,148.57,148.5,148.5,1120
1514976480000,148.53,148.53,148.49,148.49,30
1514976540000,148.47,148.57,148.4,148.5,4050
1514976600000,148.5,148.56,148.4,148.41,2840
1514976720000,148.42,148.43,148.35,148.35,2910
1514976780000,148.37,148.37,148.29,148.33,5300
1514976840000,148.45,148.45,148.33,148.33,110
1514976900000,148.48,148.56,148.37,148.37,2220
1514977020000,148.4,148.4,148.29,148.29,4130
1514977080000,148.31,148.31,148.3,148.3,430
1514977140000,148.3,148.48,148.25,148.31,3940
1514977260000,148.47,148.48,148.34,148.34,110
1514977320000,148.48,148.49,148.37,148.37,110
1514977380000,148.54,148.54,148.43,148.43,210
1514977440000,148.51,148.52,148.51,148.52,20
1514977500000,148.61,148.84,148.54,148.57,5960
1514977620000,148.73,148.73,148.73,148.73,20
1514977680000,148.73,148.8,148.73,148.75,130
1514977740000,148.77,148.84,148.77,148.82,250
1514977800000,148.85,148.89,148.85,148.87,2070
1514977860000,148.87,148.88,148.8,148.8,2480
1514977920000,148.88,148.89,148.76,148.76,1660
1514978100000,148.85,148.88,148.78,148.88,3190
1514978160000,148.87,148.87,148.5,148.5,4590
1514978220000,148.53,148.55,148.5,148.5,350
1514978280000,148.65,148.65,148.51,148.51,20
1514978340000,148.59,148.59,148.5,148.5,690
1514978460000,148.52,148.52,148.48,148.48,670
1514978520000,148.46,148.46,148.45,148.45,200
1514978580000,148.48,148.48,148.45,148.45,350
1514978640000,148.44,148.44,148.34,148.34,2490
1514978700000,148.35,148.47,148.32,148.47,2250
1514978760000,148.46,148.51,148.38,148.51,1240
1514978820000,148.5,148.5,148.28,148.28,2340
1514978880000,148.3,148.38,148.26,148.27,650
1514978940000,148.33,148.35,148.27,148.29,360
1514979000000,148.31,148.31,148.26,148.26,2580
1514979180000,148.35,148.39,148.26,148.34,1790
1514979240000,148.3,148.3,148.29,148.29,130
1514979300000,148.48,148.51,148.33,148.33,4370
1514979480000,148.5,148.5,148.43,148.43,1310
1514979540000,148.5,148.5,148.45,148.5,1780
1514979600000,148.45,148.5,148.41,148.41,6490
1514979660000,148.41,148.51,148.41,148.41,2850
1514979720000,148.42,148.6,148.42,148.52,13020
1514979780000,148.51,148.51,148.44,148.44,2440
1514979900000,148.47,148.65,148.46,148.63,3280
1514979960000,148.63,148.66,148.52,148.52,2290
1514980020000,148.58,148.58,148.51,148.51,1100
