time,open,high,low,close,volume
1357624800000,350.3,352.68,348.02,348.6,10120
1357624860000,348.78,350.15,348.6,349.5,8150
1357624920000,350.15,350.15,349.82,350.08,1760
1357624980000,350.06,351.75,350.06,351.71,24440
1357625040000,351.71,351.72,351.47,351.52,980
1357625100000,351.52,351.7,351.04,351.26,1370
1357625160000,350.87,351.74,350.45,351.03,1300
1357625220000,351.74,352.45,351.7,352.31,3130
1357625280000,352.02,356.29,351.59,355.49,22150
1357625340000,355.57,358.49,354.67,357.37,8750
1357625400000,357.37,357.99,357.37,357.82,780
1357625460000,357.81,357.82,357.59,357.59,710
1357625520000,357.3,357.4,356.97,357.4,2760
1357625580000,357.4,357.69,356.81,357.5,5860
1357625640000,357.06,357.06,356.25,357.0,4510
1357625700000,357.0,357.5,356.29,357.5,4100
1357625760000,357.4,357.4,356.26,356.26,26470
1357625820000,356.97,357.0,352.21,352.21,4500
1357625880000,352.28,354.98,352.28,354.5,3240
1357625940000,354.68,355.1,354.35,354.71,440
1357626000000,353.87,354.43,353.0,354.0,14790
1357626060000,353.99,353.99,351.41,353.9,3410
1357626120000,353.63,353.8,352.0,353.0,10250
1357626180000,352.42,353.5,348.45,349.9,43110
1357626240000,349.89,351.0,349.88,350.29,33490
1357626300000,350.2,350.41,349.97,349.97,2720
1357626360000,349.94,349.94,349.0,349.68,6040
1357626420000,349.64,349.92,349.64,349.92,590
1357626480000,349.92,349.92,349.5,349.86,980
1357626540000,349.5,349.98,349.01,349.94,3970
1357626600000,349.94,351.0,349.94,350.99,24200
1357626660000,350.94,351.96,350.86,351.0,12530
1357626720000,351.0,351.71,350.9,351.71,510
1357626780000,351.54,351.71,351.5,351.67,860
1357626840000,351.69,351.69,351.24,351.6,8160
1357626900000,351.6,351.93,351.58,351.79,2470
1357626960000,351.95,351.99,351.31,351.31,3670
1357627020000,351.84,351.98,351.33,351.33,170
1357627080000,351.84,351.84,351.84,351.84,20
1357627140000,351.84,351.99,351.51,351.99,2190
1357627200000,351.53,351.99,351.53,351.98,550
1357627260000,351.98,351.99,351.53,351.77,920
1357627320000,351.53,352.0,351.53,352.0,3440
1357627380000,351.81,352.49,351.57,352.49,8060
1357627440000,352.14,352.5,352.0,352.5,530
1357627500000,352.3,352.3,352.05,352.05,5470
1357627560000,352.07,352.49,352.04,352.49,1200
1357627620000,352.48,352.5,352.48,352.5,2260
1357627680000,352.42,352.5,352.16,352.16,1180
1357627740000,352.16,352.6,352.06,352.6,4240
1357627800000,352.8,353.0,352.36,352.88,1380
1357627860000,352.8,353.0,352.47,352.99,460
1357627920000,352.99,353.0,352.99,353.0,90
1357627980000,352.9,352.91,352.05,352.51,7900
1357628040000,352.45,353.0,352.15,352.57,6900
1357628160000,352.92,352.92,352.34,352.92,180
1357628280000,352.92,352.92,352.92,352.92,20
1357628340000,352.9,353.3,352.9,353.3,4670
1357628400000,353.41,353.7,353.12,353.69,8000
1357628460000,353.69,354.49,353.62,354.45,7860
1357628520000,354.45,354.45,353.53,354.44,6680
1357628580000,354.45,354.49,354.43,354.43,1370
1357628640000,354.42,354.42,353.2,353.95,6680
1357628700000,353.97,354.47,353.96,354.47,3710
1357628760000,354.2,354.2,354.2,354.2,10
1357628820000,354.2,354.44,354.2,354.44,160
1357628880000,354.2,354.2,354.2,354.2,10
1357628940000,354.2,354.43,354.2,354.2,530
1357629000000,354.2,354.2,353.53,353.53,520
1357629060000,353.95,353.95,353.95,353.95,80
1357629120000,353.36,353.36,353.27,353.27,20
1357629180000,353.26,353.65,353.15,353.2,1840
1357629240000,353.2,353.58,353.16,353.58,120
1357629300000,353.58,353.8,353.43,353.79,640
1357629360000,353.8,354.07,353.8,354.07,600
1357629420000,354.17,354.19,353.84,354.18,2000
1357629480000,354.18,354.2,353.6,353.62,8240
1357629540000,353.8,353.8,353.65,353.65,60
1357629660000,353.6,353.6,353.54,353.6,300
1357629720000,353.62,353.62,353.51,353.51,190
1357629780000,353.51,353.52,353.17,353.18,1220
1357629840000,353.17,353.45,353.17,353.45,280
1357629900000,353.67,353.71,353.67,353.71,60
1357629960000,353.75,353.98,353.75,353.98,70
1357630020000,353.98,353.98,353.98,353.98,100
1357630080000,353.98,354.0,353.98,354.0,410
1357630140000,354.0,354.0,354.0,354.0,80
1357630260000,354.0,354.18,354.0,354.18,350
1357630320000,354.19,354.2,354.0,354.0,2040
1357630380000,353.81,353.81,353.32,353.32,530
1357630440000,353.26,353.26,353.26,353.26,10
1357630500000,353.37,353.37,353.37,353.37,60
1357630560000,353.5,353.5,353.24,353.24,190
1357630620000,353.32,353.32,353.18,353.18,50
1357630740000,353.92,353.92,353.36,353.36,40
1357630800000,353.92,353.93,353.41,353.41,120
1357630860000,353.93,353.93,353.93,353.93,10
1357630920000,353.5,353.5,353.5,353.5,100
1357630980000,353.5,353.5,353.5,353.5,10
1357631040000,353.33,353.81,353.22,353.37,370
1357631100000,353.91,353.94,353.37,353.93,380
1357631160000,353.64,353.64,353.45,353.45,30
1357631220000,353.45,353.91,353.45,353.85,270
1357631280000,353.97,354.07,353.46,353.99,350
1357631340000,354.0,354.0,353.47,353.47,70
1357631400000,353.85,354.0,353.46,353.46,110
1357631460000,353.99,354.0,353.99,354.0,50
1357631520000,353.53,354.0,353.51,354.0,1630
1357631580000,353.52,353.52,353.37,353.4,120
1357631760000,353.48,353.48,353.24,353.46,260
1357631820000,353.25,353.25,353.0,353.21,5810
1357631880000,353.19,353.19,353.19,353.19,30
1357631940000,353.24,353.24,353.03,353.04,100
1357632000000,353.3,353.3,353.01,353.01,560
1357632060000,353.02,353.02,353.02,353.02,310
1357632180000,353.02,353.02,353.0,353.0,3170
1357632240000,352.96,352.96,352.79,352.8,210
1357632300000,352.79,353.0,352.79,352.96,570
1357632360000,353.1,353.8,353.1,353.48,780
1357632420000,353.6,353.79,353.6,353.65,560
1357632480000,353.65,353.8,353.64,353.64,290
1357632540000,353.78,354.05,353.59,353.59,810
1357632600000,353.31,353.31,353.31,353.31,20
1357632660000,353.31,353.95,353.31,353.95,810
1357632720000,353.94,353.94,353.58,353.58,200
1357632840000,353.87,353.87,353.87,353.87,50
1357632900000,353.87,353.87,353.55,353.55,1530
1357632960000,353.57,354.0,353.34,353.4,1300
1357633020000,353.4,353.4,352.16,352.2,8720
1357633080000,352.2,352.42,352.19,352.19,1400
1357633140000,352.22,353.69,352.21,353.24,2300
1357633200000,353.23,353.31,352.22,353.0,1420
1357633260000,352.83,353.35,352.83,353.35,2180
1357633320000,353.37,353.43,353.37,353.43,40
1357633380000,353.15,353.43,353.13,353.43,160
1357633440000,353.4,353.44,353.4,353.44,60
1357633500000,353.43,353.44,353.25,353.44,470
1357633560000,353.44,353.44,353.44,353.44,110
1357633620000,353.32,353.44,353.29,353.44,100
1357633680000,353.44,353.44,353.44,353.44,10
1357633740000,353.32,353.43,353.27,353.43,210
1357633800000,353.25,353.25,353.2,353.2,670
1357633860000,353.24,353.25,353.2,353.2,1500
1357633920000,353.2,353.67,353.2,353.67,1440
1357633980000,353.58,353.67,353.35,353.6,660
1357634040000,353.35,353.35,353.35,353.35,800
1357634100000,353.35,353.49,353.12,353.49,2240
1357634160000,353.13,353.49,353.12,353.49,970
1357634220000,353.12,353.38,353.12,353.38,170
1357634280000,353.12,353.12,353.12,353.12,1410
1357634340000,353.12,353.12,351.1,351.69,15270
1357634400000,351.65,352.22,351.65,352.22,1560
1357634460000,351.58,352.24,351.57,352.24,13580
1357634520000,352.01,352.21,351.53,351.53,6230
1357634580000,351.8,352.41,351.8,352.0,2920
1357634640000,352.0,352.3,352.0,352.0,560
1357634700000,352.38,352.38,352.0,352.0,6580
1357634760000,352.0,352.3,351.99,351.99,2380
1357634820000,351.8,352.05,351.66,352.05,1200
1357634880000,351.8,351.8,350.2,350.79,15850
1357634940000,350.67,350.78,350.31,350.5,4390
1357635000000,350.5,351.45,350.5,351.37,870
1357635060000,351.37,351.37,350.79,351.03,2260
1357635120000,351.18,351.18,351.18,351.18,360
1357635180000,351.17,351.18,351.08,351.08,610
1357635240000,351.23,351.24,350.88,351.16,4820
1357635300000,351.16,351.18,351.16,351.18,110
1357635360000,351.18,351.18,351.18,351.18,100
1357635420000,351.18,351.18,351.18,351.18,50
1357635480000,351.18,351.55,351.18,351.48,1790
1357635540000,351.52,351.52,351.52,351.52,200
1357635600000,351.54,351.54,351.54,351.54,40
1357635660000,351.54,351.54,351.54,351.54,350
1357635720000,351.54,351.54,351.19,351.21,220
1357635780000,351.53,351.54,351.53,351.54,90
1357635840000,351.22,351.22,351.18,351.18,730
1357635900000,351.48,351.48,351.48,351.48,10
1357635960000,351.48,351.49,351.19,351.22,610
1357636080000,351.4,351.41,351.19,351.19,1650
1357636200000,351.39,351.48,351.39,351.48,180
1357636260000,351.48,351.48,351.39,351.39,2030
1357636320000,351.48,351.48,351.39,351.39,390
1357636380000,351.39,351.39,351.19,351.19,220
1357636440000,351.54,351.54,351.54,351.54,20
1357636500000,351.55,351.55,351.24,351.24,690
1357636560000,351.24,351.24,350.85,350.85,4460
1357636620000,350.85,351.16,350.85,350.85,3830
1357636680000,351.1,351.1,351.1,351.1,20
1357636740000,350.88,351.48,350.88,351.29,720
1357636800000,351.1,351.1,350.94,350.94,60
1357636860000,351.07,351.07,350.95,351.01,550
1357637400000,351.28,351.29,351.15,351.28,140
1357637460000,351.28,351.29,351.28,351.29,540
1357637580000,351.29,351.29,351.29,351.29,30
1357637640000,351.29,351.29,351.29,351.29,50
1357637700000,351.29,351.29,351.29,351.29,10
1357637820000,351.47,351.49,351.47,351.49,320
1357637880000,351.47,352.2,351.28,351.79,2910
1357637940000,351.81,352.03,351.28,351.74,1750
1357638000000,351.85,351.85,351.85,351.85,40
1357638060000,351.87,351.98,351.87,351.98,1280
1357638120000,351.99,351.99,351.95,351.95,70
1357638240000,351.99,352.2,351.97,352.2,1100
1357638300000,352.19,352.25,351.97,351.97,1970
1357638360000,352.21,352.3,351.96,352.28,2690
1357638540000,352.13,352.13,352.13,352.13,30
1357638660000,352.0,352.0,352.0,352.0,30
1357638720000,352.23,352.23,352.22,352.22,140
1357638780000,352.22,352.23,352.22,352.22,550
1357638960000,352.0,352.0,351.86,351.86,330
1357639080000,352.21,352.23,351.88,352.19,150
1357639500000,352.15,352.15,352.15,352.15,20
1357639560000,352.15,352.18,351.87,352.18,460
1357639620000,352.19,352.19,352.19,352.19,10
1357639680000,352.19,352.19,352.19,352.19,500
1357639740000,352.18,352.19,352.18,352.18,150
1357639800000,352.19,352.25,352.18,352.25,1890
1357639920000,352.29,352.36,352.27,352.34,290
1357639980000,352.36,352.36,352.34,352.34,2360
1357640040000,352.36,352.5,352.34,352.34,5120
1357640100000,352.5,352.54,352.34,352.35,1350
1357640160000,352.54,352.87,352.41,352.41,2800
1357640220000,352.54,352.54,352.39,352.39,80
1357640280000,352.52,352.52,352.39,352.39,1130
1357640340000,352.36,352.36,352.35,352.35,40
1357640400000,352.53,352.98,352.34,352.64,5950
1357640460000,352.57,352.58,352.57,352.58,20
1357640580000,352.83,352.96,352.83,352.96,200
1357640640000,352.96,353.0,352.83,353.0,2460
1357640700000,353.0,353.49,352.83,352.84,3900
1357640760000,352.92,352.92,352.92,352.92,50
1357641000000,353.0,353.56,353.0,353.27,7100
1357641060000,353.27,353.28,353.27,353.28,1530
1357641120000,353.28,353.28,353.16,353.16,590
1357641240000,353.44,353.44,353.13,353.13,210
1357641300000,353.44,353.45,353.13,353.13,170
1357641360000,353.16,353.47,353.16,353.18,650
1357641480000,353.2,353.2,352.63,352.66,2940
1357641540000,353.01,353.01,353.01,353.01,10
1357641600000,352.99,353.16,352.78,352.78,1680
1357641720000,352.86,352.86,352.66,352.67,590
1357641780000,352.7,352.71,352.7,352.71,50
1357641840000,352.97,353.14,352.67,352.74,4130
1357641900000,352.7,352.7,352.7,352.7,10
1357641960000,352.7,352.71,352.7,352.7,350
1357642140000,353.06,353.09,352.71,352.71,240
1357642200000,353.14,353.14,352.75,352.75,120
1357642260000,353.13,353.13,352.75,352.75,20
1357642320000,352.7,353.08,352.7,353.08,20
1357642380000,352.7,352.7,352.7,352.7,590
1357642440000,352.9,352.9,352.9,352.9,20
1357642500000,352.9,352.9,352.7,352.7,60
1357642740000,352.98,352.98,352.98,352.98,10
1357642800000,352.98,352.99,352.71,352.71,380
1357642920000,352.71,353.45,352.55,352.56,12160
1357642980000,352.59,352.95,352.5,352.54,11490
1357643040000,352.61,352.88,352.5,352.5,4950
1357643100000,352.75,353.46,352.75,352.78,5570
1357643160000,352.78,352.78,352.5,352.5,2130
1357643220000,352.73,352.95,352.73,352.73,280
1357643340000,352.75,352.75,352.5,352.5,1020
1357643460000,352.51,352.51,352.51,352.51,700
1357643520000,352.51,352.51,352.5,352.51,2730
1357643580000,352.51,352.6,352.5,352.5,3700
1357643700000,352.5,352.5,352.5,352.5,2940
1357643760000,352.5,352.5,352.2,352.2,590
1357643820000,352.06,352.07,351.85,351.85,1270
1357644120000,352.32,352.32,351.86,351.86,230
1357644180000,352.3,352.3,352.0,352.0,90
1357644240000,352.33,352.33,352.33,352.33,10
1357644300000,352.33,352.33,352.0,352.0,1660
1357644360000,352.01,352.01,352.0,352.0,60
1357644420000,352.34,352.35,352.0,352.01,270
1357644480000,352.0,352.35,352.0,352.05,1420
1357644540000,352.39,352.39,352.39,352.39,10
1357644720000,352.07,352.07,352.06,352.06,710
1357644780000,352.39,352.66,352.18,352.18,1350
1357644840000,352.3,352.3,352.0,352.0,2290
1357644900000,352.5,352.5,352.5,352.5,10
1357645020000,352.01,352.01,352.01,352.01,10
1357645140000,352.27,352.27,352.01,352.01,120
1357645200000,352.27,352.27,351.5,351.5,3850
1357645260000,351.76,351.76,351.5,351.5,1760
1357645320000,351.55,351.55,351.5,351.5,1770
1357645380000,351.52,351.52,351.5,351.5,290
1357645560000,351.7,351.7,351.7,351.7,10
1357645620000,351.7,351.7,351.55,351.55,120
1357645680000,351.55,351.55,351.55,351.55,70
1357645800000,351.6,351.6,351.6,351.6,10
1357645860000,351.6,351.6,351.6,351.6,1980
1357645920000,351.6,352.34,351.6,351.82,6040
1357645980000,351.82,352.19,351.61,351.61,780
1357646100000,351.61,351.61,351.6,351.6,670
1357646160000,351.6,351.6,351.6,351.6,1800
1357646220000,351.6,351.6,351.6,351.6,50
1357646280000,351.6,351.6,351.6,351.6,5300
1357646340000,351.7,351.7,351.52,351.52,5520
1357646400000,351.96,351.96,351.55,351.55,20
1357646460000,351.8,351.99,351.53,351.86,100
1357646520000,351.53,351.99,350.85,350.85,13250
1357646580000,351.42,351.45,350.86,350.9,1830
1357646640000,351.48,351.48,350.85,350.85,4130
1357646700000,350.85,351.38,350.85,351.38,600
1357646760000,351.3,351.45,350.85,350.85,1300
1357646820000,351.25,351.25,350.85,350.85,1170
1357646880000,351.4,351.49,350.85,351.38,830
1357646940000,351.48,351.48,350.93,350.93,560
1357647000000,350.93,351.33,350.85,351.33,1910
1357647060000,351.31,351.31,351.31,351.31,10
1357647120000,351.31,351.4,350.85,350.88,790
1357647180000,351.39,351.4,350.93,350.93,80
1357647240000,351.47,351.51,351.06,351.51,260
1357647300000,351.58,351.58,351.07,351.07,1180
1357647420000,351.55,351.71,351.07,351.08,240
1357647540000,351.53,351.53,351.07,351.07,1000
1357647600000,351.07,351.07,351.07,351.07,310
1357647660000,351.51,351.56,351.07,351.07,2340
1357647720000,351.47,351.47,351.46,351.46,80
1357647780000,351.47,351.58,351.07,351.09,520
1357647840000,351.07,351.43,350.9,350.95,1310
1357647900000,351.17,353.0,350.2,350.23,26130
1357647960000,350.23,350.79,350.12,350.12,4370
1357648020000,350.19,350.88,350.07,350.68,8270
1357648080000,350.68,350.68,350.0,350.0,1790
1357648140000,350.04,350.37,349.5,350.32,4320
1357648200000,349.84,350.31,349.83,349.87,1270
1357648260000,350.28,350.28,350.28,350.28,10
1357648380000,350.27,350.27,350.27,350.27,10
1357648440000,350.27,350.27,350.01,350.01,60
1357648620000,350.01,350.01,350.0,350.0,470
1357648680000,350.29,350.29,350.0,350.01,470
1357648740000,350.29,350.32,350.01,350.32,340
1357648800000,350.36,350.41,350.1,350.41,450
1357648860000,350.35,350.35,350.1,350.1,120
1357649100000,350.1,350.1,350.1,350.1,10
1357649160000,350.35,350.45,350.1,350.13,3130
1357649220000,350.13,350.13,350.13,350.13,10
1357649280000,350.26,350.26,350.11,350.11,50
1357649400000,350.16,350.43,350.1,350.1,150
1357649460000,350.43,350.43,350.43,350.43,10
1357649520000,350.19,350.19,350.11,350.11,430
1357649580000,350.18,350.45,350.1,350.44,2610
1357649640000,350.41,350.41,350.03,350.03,2430
1357649880000,350.02,350.3,350.02,350.3,60
1357649940000,350.3,350.3,350.3,350.3,10
1357650060000,350.3,350.3,350.02,350.3,660
1357650120000,350.03,350.03,350.0,350.0,6180
1357650180000,350.39,350.39,350.0,350.0,40
1357650300000,350.37,350.38,350.01,350.38,440
1357650360000,350.38,350.45,350.0,350.02,1660
1357650540000,350.44,350.45,350.03,350.07,720
1357650600000,350.44,350.45,350.06,350.06,150
1357650660000,350.45,350.45,350.09,350.09,180
1357650720000,350.49,350.5,350.1,350.1,50
1357650840000,350.3,350.5,350.08,350.08,1650
1357650900000,350.08,350.08,350.08,350.08,150
1357650960000,350.49,350.49,350.08,350.08,110
1357651020000,350.49,350.49,350.04,350.04,1580
1357651080000,350.47,350.47,350.47,350.47,10
1357651140000,350.04,350.04,350.02,350.02,1180
1357651200000,350.15,350.48,350.0,350.0,9370
1357651260000,350.0,350.01,349.88,349.88,6130
1357651320000,349.9,350.28,349.8,349.8,2110
1357651440000,350.0,350.4,349.8,350.4,1740
1357651500000,349.86,350.5,349.85,349.86,2470
1357651560000,349.95,350.35,349.8,350.21,5250
1357651620000,350.0,350.11,349.8,349.8,1190
1357651740000,350.06,350.06,349.52,350.01,4410
1357651800000,349.62,349.84,349.53,349.53,560
1357651860000,349.73,349.73,349.53,349.59,1250
1357652160000,349.6,349.6,349.58,349.58,460
1357652220000,349.69,349.85,349.58,349.58,50
1357652280000,349.82,349.82,349.52,349.52,2480
1357652340000,349.55,349.84,349.3,349.33,13650
1357652400000,349.3,349.3,349.3,349.3,10
1357652460000,349.79,349.79,348.88,349.01,10020
1357652520000,348.85,349.35,348.54,348.57,6470
1357652580000,348.84,348.84,348.8,348.81,1820
1357652640000,348.9,349.4,348.81,349.4,50
1357652700000,349.01,349.01,348.59,348.59,3680
1357652760000,348.95,348.97,348.58,348.58,1570
1357652820000,348.61,348.61,348.61,348.61,10
1357652880000,348.61,348.61,348.5,348.5,2990
1357652940000,348.5,348.5,348.1,348.1,2610
1357653000000,348.2,348.5,348.11,348.5,600
1357653060000,348.46,348.68,348.15,348.15,320
1357653120000,348.77,348.85,348.44,348.67,1020
1357653180000,348.69,348.85,348.44,348.44,1180
1357653240000,348.44,348.77,348.17,348.17,600
1357653300000,348.5,348.85,348.18,348.18,410
1357653360000,348.61,348.69,348.15,348.63,860
1357653420000,348.16,348.76,348.16,348.76,90
1357653480000,348.5,348.79,348.36,348.79,1190
1357653540000,348.16,348.16,347.61,347.97,9180
1357653600000,347.66,348.18,347.59,347.6,7770
1357653660000,347.62,347.62,347.03,347.11,9420
1357653780000,347.69,347.81,347.21,347.77,150
1357653900000,347.77,347.77,347.77,347.77,180
1357653960000,347.78,347.78,347.45,347.45,580
1357654020000,347.44,347.83,347.28,347.83,520
1357654080000,347.83,347.83,347.29,347.29,50
1357654140000,347.5,347.5,347.5,347.5,10
1357654200000,347.5,348.0,347.4,347.45,5260
1357654260000,348.06,348.06,347.22,347.3,5270
1357654320000,347.31,347.89,347.3,347.35,180
1357654380000,347.88,348.07,347.35,347.43,270
1357654440000,348.0,348.14,347.4,347.93,1690
1357654500000,348.26,348.86,348.26,348.64,330
1357654560000,348.77,348.77,348.42,348.42,20
1357654620000,348.47,348.47,347.6,347.6,1220
1357654740000,347.95,347.95,347.45,347.45,1210
1357654860000,347.5,347.5,347.2,347.2,3290
