time,open,high,low,close,volume
1672729140000,777.8,777.8,777.8,777.8,784
1672729200000,777.8,780.0,777.0,778.8,2445
1672729260000,778.8,779.7,776.5,776.5,1544
1672729320000,776.5,779.9,776.1,778.55,1492
1672729380000,778.95,779.75,778.0,778.0,680
1672729440000,778.15,778.15,777.2,777.6,424
1672729500000,777.6,779.9,777.55,778.65,1449
1672729560000,778.8,779.4,778.8,779.4,115
1672729620000,779.45,779.8,779.1,779.65,749
1672729680000,779.55,779.6,778.25,778.5,334
1672729740000,778.5,779.0,778.05,778.15,195
1672729800000,778.45,778.45,778.1,778.2,166
1672729860000,778.25,778.3,775.35,776.8,1694
1672729920000,776.8,777.45,776.7,777.45,406
1672729980000,777.3,777.45,776.5,776.5,122
1672730040000,776.5,779.0,776.5,778.95,1280
1672730100000,778.95,779.0,778.25,778.85,313
1672730160000,778.85,778.85,778.45,778.75,132
1672730220000,778.5,778.7,778.0,778.0,169
1672730280000,778.15,778.65,777.05,777.3,314
1672730340000,777.35,777.7,777.3,777.35,106
1672730400000,777.65,777.8,777.5,777.8,470
1672730460000,777.8,779.45,777.8,779.45,494
1672730520000,779.4,779.5,779.0,779.3,500
1672730580000,779.3,781.0,779.3,780.8,2434
1672730640000,780.65,784.0,780.65,783.0,4053
1672730700000,783.0,783.0,781.8,782.3,1485
1672730760000,782.3,782.95,782.25,782.65,264
1672730820000,782.65,782.8,782.2,782.5,359
1672730880000,782.2,782.75,782.0,782.6,225
1672730940000,782.55,782.8,782.5,782.6,395
1672731000000,782.6,782.85,782.5,782.85,378
1672731060000,782.8,782.95,782.4,782.4,540
1672731120000,782.35,782.8,782.0,782.8,374
1672731180000,782.6,783.0,782.25,783.0,892
1672731240000,783.0,783.6,781.5,783.2,3366
1672731300000,782.9,785.0,782.8,785.0,2854
1672731360000,785.0,786.0,784.1,785.45,1779
1672731420000,785.4,785.4,783.7,784.5,1020
1672731480000,784.5,785.4,784.2,785.3,1053
1672731540000,785.25,785.3,785.0,785.25,643
1672731600000,785.2,785.25,784.25,784.45,1258
1672731660000,784.85,785.3,784.85,785.05,384
1672731720000,785.25,787.55,785.1,787.1,1939
1672731780000,787.1,787.65,786.5,787.4,836
1672731840000,787.4,788.0,787.05,787.95,2658
1672731900000,787.9,787.95,786.5,786.9,877
1672731960000,787.0,787.65,786.5,787.65,981
1672732020000,787.55,787.7,787.0,787.2,296
1672732080000,787.2,787.7,787.0,787.35,458
1672732140000,787.05,787.35,786.0,786.0,644
1672732200000,786.3,786.5,784.55,785.85,1815
1672732260000,785.85,786.0,785.2,785.65,900
1672732320000,785.65,786.1,785.5,786.0,503
1672732380000,786.0,786.65,785.5,786.15,825
1672732440000,786.4,786.65,786.4,786.5,107
1672732500000,786.5,786.65,786.0,786.0,146
1672732560000,786.1,786.5,786.0,786.4,205
1672732620000,786.45,787.1,786.35,787.0,572
1672732680000,786.95,787.1,786.6,787.0,285
1672732740000,787.0,787.2,786.6,787.2,277
1672732800000,786.8,787.8,786.8,787.8,574
1672732860000,787.8,788.7,787.8,788.35,1778
1672732920000,788.0,788.5,787.75,788.35,345
1672732980000,788.4,788.65,788.1,788.55,351
1672733040000,788.4,788.9,788.25,788.35,608
1672733100000,788.7,788.75,788.0,788.2,497
1672733160000,788.0,789.0,787.65,788.65,2100
1672733220000,788.3,788.7,787.5,788.2,700
1672733280000,787.75,788.2,787.5,788.0,684
1672733340000,788.0,788.0,786.6,787.05,1085
1672733400000,786.8,787.2,786.8,787.2,507
1672733460000,787.05,787.25,786.75,787.0,1048
1672733520000,787.0,787.95,786.9,787.7,897
1672733580000,787.85,788.0,787.6,787.6,190
1672733640000,787.6,787.95,787.6,787.95,65
1672733700000,787.95,788.45,787.9,788.1,229
1672733760000,788.3,788.5,788.3,788.45,618
1672733820000,788.35,789.0,788.3,788.9,1229
1672733880000,788.85,789.5,788.4,788.9,1217
1672733940000,789.05,789.25,788.7,789.2,200
1672734000000,789.2,789.2,788.05,788.35,530
1672734060000,788.35,788.4,788.2,788.35,51
1672734120000,788.25,788.3,787.8,787.8,386
1672734180000,787.8,787.8,787.05,787.15,669
1672734240000,787.15,787.25,787.0,787.0,597
1672734300000,787.2,787.6,787.05,787.3,448
1672734360000,787.3,787.3,785.15,785.85,1997
1672734420000,785.75,786.15,785.35,785.9,431
1672734480000,785.95,786.4,785.7,786.25,228
1672734540000,786.4,787.0,786.25,786.9,318
1672734600000,786.55,786.9,786.05,786.5,163
1672734660000,786.5,786.5,785.8,786.25,116
1672734720000,786.15,786.2,785.6,785.9,176
1672734780000,785.8,786.2,785.55,786.0,157
1672734840000,785.85,785.95,785.8,785.9,220
1672734900000,785.9,786.15,785.5,785.5,453
1672734960000,785.5,785.6,784.5,784.5,887
1672735020000,784.55,786.65,784.55,786.65,1409
1672735080000,786.5,786.5,785.45,786.0,265
1672735140000,786.25,786.45,786.0,786.0,71
1672735200000,786.0,786.05,785.95,785.95,179
1672735260000,785.95,786.4,785.95,786.15,132
1672735320000,786.35,786.55,786.35,786.45,189
1672735380000,786.45,786.5,786.35,786.4,24
1672735440000,786.25,786.45,786.1,786.35,81
1672735500000,786.25,786.35,786.05,786.1,34
1672735560000,786.05,786.4,786.05,786.1,116
1672735620000,786.05,786.2,785.8,785.85,158
1672735680000,785.8,785.85,785.6,785.8,41
1672735740000,785.85,787.4,785.85,786.95,727
1672735800000,786.95,787.0,786.85,787.0,133
1672735860000,786.95,787.45,786.5,787.25,352
1672735920000,787.25,787.8,787.2,787.7,158
1672735980000,787.65,787.85,787.45,787.7,198
1672736040000,787.65,787.65,787.05,787.05,205
1672736100000,787.05,788.0,786.55,786.55,1037
1672736160000,786.5,786.5,785.35,785.85,621
1672736220000,785.85,786.15,785.55,786.05,123
1672736280000,786.05,788.0,785.65,787.05,1187
1672736340000,787.05,787.4,787.0,787.35,29
1672736400000,787.2,787.65,786.2,787.1,343
1672736460000,786.95,787.3,786.55,787.1,125
1672736520000,787.1,787.1,787.1,787.1,59
1672736580000,786.85,786.95,786.7,786.85,134
1672736640000,786.75,786.9,786.55,786.55,339
1672736700000,786.55,786.55,785.5,785.9,255
1672736760000,785.9,786.1,785.55,786.0,186
1672736820000,785.95,786.25,785.95,786.25,75
1672736880000,786.05,786.35,786.05,786.35,72
1672736940000,786.45,786.5,786.4,786.4,43
1672737000000,786.4,786.4,785.3,785.3,194
1672737060000,785.3,787.0,785.2,787.0,799
1672737120000,786.7,787.25,786.05,786.05,537
1672737180000,786.0,786.45,785.95,786.4,76
1672737240000,786.4,788.0,786.4,787.55,1162
1672737300000,787.55,787.7,787.45,787.5,103
1672737360000,787.5,788.95,787.5,788.6,1551
1672737420000,788.45,788.45,788.25,788.4,51
1672737480000,788.3,788.6,788.25,788.5,202
1672737540000,788.5,788.5,788.2,788.2,118
1672737600000,788.35,789.45,787.8,789.05,1309
1672737660000,789.35,789.8,789.3,789.8,2217
1672737720000,789.8,789.8,789.0,789.1,385
1672737780000,789.1,789.25,789.1,789.25,137
1672737840000,789.25,789.4,789.0,789.0,175
1672737900000,789.3,789.35,788.5,789.1,582
1672737960000,789.1,789.2,788.8,788.8,54
1672738020000,788.75,789.2,788.7,789.2,70
1672738080000,789.2,789.2,788.75,788.75,73
1672738140000,789.05,789.15,788.75,789.0,55
1672738200000,789.0,789.15,789.0,789.1,25
1672738260000,789.1,789.1,788.0,788.3,648
1672738320000,788.8,788.8,788.3,788.8,63
1672738380000,788.8,788.9,788.8,788.8,149
1672738440000,788.85,788.9,788.8,788.85,136
1672738500000,788.85,788.95,788.5,788.85,311
1672738560000,788.5,788.8,788.5,788.6,12
1672738620000,788.75,788.8,788.5,788.6,82
1672738680000,788.7,788.8,788.7,788.75,19
1672738740000,788.65,788.75,788.3,788.5,70
1672738800000,788.45,788.45,788.3,788.3,30
1672738860000,788.3,788.4,788.25,788.3,23
1672738920000,788.4,788.4,788.3,788.35,35
1672738980000,788.5,788.7,788.5,788.65,63
1672739040000,788.7,788.7,788.4,788.4,106
1672739100000,788.4,788.45,788.3,788.45,139
1672739160000,788.45,788.5,788.4,788.45,97
1672739220000,788.4,788.65,788.35,788.65,130
1672739280000,788.45,788.65,788.0,788.0,215
1672739340000,788.05,788.15,787.9,787.95,150
1672739400000,787.95,788.0,787.9,788.0,87
1672739460000,787.95,788.0,787.9,788.0,28
1672739520000,787.95,788.0,787.95,788.0,99
1672739580000,788.0,788.0,787.9,787.9,111
1672739640000,787.9,787.9,787.5,787.5,145
1672739700000,787.55,787.9,787.5,787.8,153
1672739760000,787.6,787.9,787.5,787.8,96
1672739820000,787.9,788.0,787.8,788.0,83
1672739880000,787.85,787.95,787.6,787.65,205
1672739940000,787.9,788.0,787.75,788.0,116
1672740000000,787.75,788.0,787.7,788.0,109
1672740060000,787.95,788.0,787.0,787.6,600
1672740120000,787.35,787.35,787.1,787.35,34
1672740180000,787.25,787.4,787.0,787.3,145
1672740240000,787.5,787.6,787.3,787.6,136
1672740300000,787.7,787.75,787.5,787.5,10
1672740360000,787.35,787.35,787.3,787.35,7
1672740420000,787.3,787.4,787.15,787.4,144
1672740480000,787.35,787.35,787.25,787.3,12
1672740540000,787.25,787.5,787.25,787.5,206
1672740600000,787.7,787.7,787.55,787.55,14
1672740660000,787.7,787.9,787.6,787.9,19
1672740720000,787.9,787.9,787.7,787.9,20
1672740780000,787.7,788.4,787.65,788.05,515
1672740840000,788.45,788.5,788.2,788.5,43
1672740900000,788.5,788.65,788.5,788.65,50
1672740960000,788.7,788.85,788.5,788.7,196
1672741020000,788.65,788.75,788.65,788.65,24
1672741080000,788.5,788.5,788.15,788.3,171
1672741140000,788.4,788.4,787.55,787.55,259
1672741200000,787.55,787.65,787.4,787.5,123
1672741260000,787.5,787.5,787.2,787.4,148
1672741320000,787.3,787.3,787.15,787.15,117
1672741380000,787.15,787.25,787.15,787.15,28
1672741440000,787.15,787.15,786.6,786.85,785
1672741500000,786.7,787.5,786.7,787.45,182
1672741560000,787.5,788.0,787.0,787.2,114
1672741620000,787.3,787.55,786.95,787.5,95
1672741680000,787.35,788.55,787.35,788.0,275
1672741740000,788.1,788.4,788.05,788.35,24
1672741800000,788.35,788.35,788.35,788.35,3
1672741860000,788.3,788.3,787.15,787.55,366
1672741920000,787.45,787.5,787.45,787.5,7
1672741980000,787.5,787.8,787.5,787.8,18
1672742040000,787.75,788.0,787.5,787.95,459
1672742100000,787.65,788.0,787.6,787.85,46
1672742160000,787.55,787.85,787.5,787.5,118
1672742220000,787.6,787.6,787.2,787.25,20
1672742280000,787.35,787.35,787.15,787.15,4
1672742340000,787.4,787.4,787.25,787.25,18
1672742400000,787.4,787.4,787.15,787.15,84
1672742460000,787.2,787.4,787.2,787.4,38
