time,open,high,low,close,volume
1420441200000,29.195,29.2,29.08,29.08,43100
1420441260000,29.1,29.16,29.1,29.16,23100
1420441320000,29.2,29.61,29.2,29.61,84600
1420441380000,29.54,29.735,29.515,29.655,17700
1420441440000,29.775,29.865,29.735,29.785,40000
1420441500000,29.725,29.725,29.64,29.645,14500
1420441560000,29.645,29.7,29.63,29.7,2900
1420441620000,29.7,29.73,29.695,29.73,25000
1420441680000,29.73,29.795,29.73,29.795,10700
1420441800000,29.735,29.735,29.72,29.72,8000
1420441860000,29.72,29.72,29.665,29.665,16800
1420441980000,29.69,29.69,29.665,29.665,5200
1420442040000,29.65,29.655,29.62,29.62,93900
1420442100000,29.62,29.66,29.62,29.66,1800
1420442160000,29.705,29.75,29.705,29.75,22700
1420442220000,29.75,29.785,29.75,29.785,3900
1420442280000,29.75,29.79,29.75,29.755,5300
1420442340000,29.75,29.79,29.71,29.75,50700
1420442400000,29.755,29.785,29.75,29.78,8900
1420442460000,29.78,29.79,29.735,29.75,19400
1420442520000,29.785,29.79,29.75,29.79,11700
1420442580000,29.76,29.795,29.755,29.795,5900
1420442640000,29.755,29.755,29.755,29.755,100
1420442700000,29.755,29.78,29.7,29.7,29700
1420442760000,29.7,29.77,29.7,29.745,85700
1420442820000,29.775,29.795,29.775,29.79,29200
1420442880000,29.79,29.8,29.76,29.76,30600
1420442940000,29.78,29.835,29.78,29.795,43600
1420443000000,29.76,29.76,29.745,29.745,5600
1420443060000,29.745,29.75,29.725,29.75,58600
1420443120000,29.75,29.75,29.73,29.75,26100
1420443180000,29.73,29.73,29.73,29.73,1600
1420443240000,29.725,29.745,29.7,29.7,31600
1420443300000,29.7,29.7,29.7,29.7,1600
1420443360000,29.7,29.72,29.7,29.72,2700
1420443420000,29.705,29.705,29.705,29.705,500
1420443480000,29.705,29.75,29.705,29.75,3600
1420443540000,29.705,29.705,29.705,29.705,1600
1420443600000,29.7,29.745,29.7,29.745,4300
1420443660000,29.715,29.74,29.715,29.74,4100
1420443720000,29.705,29.705,29.7,29.7,2200
1420443780000,29.7,29.73,29.68,29.68,7400
1420443840000,29.67,29.725,29.66,29.715,6900
1420443900000,29.67,29.725,29.67,29.72,2100
1420443960000,29.685,29.7,29.665,29.7,5500
1420444020000,29.66,29.66,29.62,29.63,19000
1420444080000,29.63,29.63,29.63,29.63,5000
1420444140000,29.63,29.665,29.63,29.665,3900
1420444200000,29.64,29.64,29.64,29.64,7400
1420444260000,29.63,29.63,29.63,29.63,1900
1420444320000,29.66,29.66,29.6,29.6,27500
1420444380000,29.6,29.615,29.6,29.6,14800
1420444440000,29.6,29.6,29.535,29.55,3600
1420444500000,29.545,29.545,29.545,29.545,2000
1420444560000,29.53,29.54,29.475,29.51,47300
1420444620000,29.515,29.515,29.46,29.46,5100
1420444680000,29.455,29.46,29.415,29.43,10300
1420444740000,29.415,29.435,29.405,29.405,4500
1420444800000,29.405,29.52,29.4,29.52,72300
1420444860000,29.52,29.545,29.48,29.535,32000
1420444920000,29.51,29.51,29.47,29.47,9300
1420444980000,29.485,29.485,29.485,29.485,1500
1420445040000,29.505,29.58,29.505,29.545,11200
1420445160000,29.53,29.55,29.53,29.55,1600
1420445220000,29.535,29.535,29.53,29.53,6700
1420445280000,29.515,29.515,29.515,29.515,1500
1420445340000,29.51,29.51,29.505,29.51,3200
1420445400000,29.5,29.5,29.5,29.5,1500
1420445460000,29.5,29.5,29.5,29.5,1700
1420445520000,29.52,29.53,29.5,29.5,21200
1420445580000,29.505,29.535,29.505,29.535,1600
1420445640000,29.49,29.6,29.49,29.6,24200
1420445700000,29.575,29.575,29.57,29.57,3000
1420445760000,29.565,29.585,29.565,29.585,7700
1420445820000,29.55,29.56,29.54,29.54,90500
1420445880000,29.54,29.61,29.535,29.59,49000
1420445940000,29.56,29.605,29.56,29.565,19200
1420446060000,29.58,29.605,29.58,29.605,6400
1420446120000,29.59,29.59,29.59,29.59,8600
1420446180000,29.55,29.65,29.54,29.565,114600
1420446240000,29.6,29.63,29.565,29.585,96900
1420446300000,29.56,29.56,29.55,29.55,18800
1420446360000,29.515,29.515,29.5,29.5,800
1420446420000,29.495,29.495,29.38,29.4,242400
1420446480000,29.395,29.4,29.385,29.4,32900
1420446540000,29.4,29.4,29.39,29.39,3200
1420446600000,29.39,29.43,29.39,29.39,92500
1420446660000,29.395,29.425,29.33,29.375,56400
1420446720000,29.36,29.36,29.36,29.36,1600
1420446780000,29.355,29.37,29.35,29.37,14400
1420446840000,29.33,29.355,29.33,29.355,3600
1420446900000,29.355,29.355,29.28,29.28,47600
1420446960000,29.26,29.275,29.26,29.275,1700
1420447020000,29.275,29.31,29.27,29.3,89400
1420447080000,29.3,29.335,29.3,29.335,29500
1420447140000,29.31,29.39,29.31,29.385,120900
1420447200000,29.385,29.46,29.385,29.395,178000
1420447260000,29.37,29.375,29.37,29.375,17900
1420447320000,29.37,29.375,29.365,29.365,14400
1420447440000,29.37,29.37,29.37,29.37,21100
1420447500000,29.37,29.395,29.37,29.38,10300
1420447560000,29.375,29.375,29.365,29.365,47500
1420447620000,29.365,29.37,29.365,29.365,2200
1420447680000,29.365,29.39,29.365,29.39,2200
1420447740000,29.365,29.365,29.365,29.365,4900
1420447800000,29.365,29.365,29.365,29.365,100
1420447860000,29.365,29.37,29.365,29.37,3000
1420447920000,29.385,29.385,29.365,29.365,1700
1420447980000,29.38,29.38,29.365,29.365,1900
1420448040000,29.38,29.455,29.365,29.365,232500
1420448100000,29.365,29.37,29.335,29.35,57000
1420448160000,29.37,29.37,29.365,29.365,48700
1420448220000,29.36,29.36,29.35,29.36,19500
1420448280000,29.345,29.4,29.345,29.4,88900
1420448340000,29.395,29.4,29.375,29.39,30500
1420448400000,29.37,29.37,29.37,29.37,12200
1420448460000,29.365,29.37,29.365,29.37,2600
1420448520000,29.36,29.37,29.36,29.36,1600
1420448580000,29.37,29.37,29.35,29.35,35800
1420448640000,29.345,29.345,29.345,29.345,6000
1420448700000,29.34,29.34,29.34,29.34,5500
1420448760000,29.34,29.34,29.34,29.34,1600
1420448820000,29.34,29.345,29.34,29.345,20300
1420448880000,29.345,29.38,29.34,29.38,23100
1420448940000,29.38,29.38,29.38,29.38,12800
1420449000000,29.37,29.4,29.37,29.4,33600
1420449060000,29.39,29.4,29.39,29.4,18700
1420449120000,29.39,29.4,29.39,29.4,1700
1420449180000,29.4,29.4,29.39,29.39,19800
1420449240000,29.4,29.415,29.37,29.37,80100
1420449300000,29.385,29.39,29.365,29.365,4700
1420449360000,29.39,29.39,29.365,29.365,1700
1420449420000,29.365,29.37,29.365,29.37,1700
1420449480000,29.38,29.38,29.38,29.38,37700
1420449540000,29.38,29.4,29.38,29.4,700
1420449600000,29.4,29.42,29.4,29.4,75300
