time,open,high,low,close,volume
1735887540000,4019.0,4019.0,4019.0,4019.0,2513
1735887600000,4012.5,4018.5,4005.0,4008.0,11182
1735887660000,4009.0,4019.5,4000.5,4009.5,3634
1735887720000,4009.5,4011.0,4005.0,4009.0,2365
1735887780000,4009.0,4013.0,3999.5,4007.5,4988
1735887840000,4006.5,4006.5,3996.0,3999.0,7799
1735887900000,3997.5,3997.5,3975.0,3975.5,6333
1735887960000,3975.5,3980.5,3972.0,3980.5,2998
1735888020000,3979.5,4002.0,3979.5,3992.0,5774
1735888080000,3990.5,3992.0,3957.0,3959.0,8727
1735888140000,3962.5,3990.0,3956.5,3984.5,9078
1735888200000,3984.5,3997.0,3979.5,3991.5,2158
1735888260000,3991.0,4006.5,3988.0,4005.5,3646
1735888320000,4007.0,4012.5,4001.5,4002.0,2870
1735888380000,4001.5,4001.5,3995.0,3998.5,2715
1735888440000,3997.0,3999.5,3990.0,3990.0,5015
1735888500000,3990.0,3990.5,3982.5,3984.5,5940
1735888560000,3984.5,3995.0,3983.0,3994.0,1485
1735888620000,3994.0,4000.0,3987.5,3993.0,1954
1735888680000,3992.0,3999.0,3992.0,3997.0,606
1735888740000,3998.5,3998.5,3990.0,3993.5,2295
1735888800000,3993.5,3994.0,3990.0,3990.0,1753
1735888860000,3990.0,3993.5,3990.0,3990.5,823
1735888920000,3991.0,3995.0,3990.5,3995.0,399
1735888980000,3993.5,3994.5,3986.0,3986.0,4187
1735889040000,3986.0,3986.5,3976.5,3976.5,3338
1735889100000,3976.5,3978.5,3966.0,3968.0,4012
1735889160000,3967.0,3973.0,3961.5,3971.5,5333
1735889220000,3972.5,3978.0,3965.5,3966.5,4347
1735889280000,3967.5,3996.5,3967.5,3991.5,10792
1735889340000,3991.5,3991.5,3990.0,3990.5,3346
1735889400000,3990.0,3997.0,3990.0,3994.0,7554
1735889460000,3994.5,3996.5,3992.5,3995.0,856
1735889520000,3994.5,3999.0,3991.5,3999.0,3445
1735889580000,3994.5,4002.5,3992.5,4002.5,3250
1735889640000,4003.5,4005.0,4002.0,4003.5,1266
1735889700000,4003.0,4010.0,4001.0,4009.0,2407
1735889760000,4009.0,4010.0,4007.0,4007.5,1855
1735889820000,4007.0,4014.5,4004.5,4013.0,3403
1735889880000,4013.0,4016.0,4009.0,4012.5,1509
1735889940000,4010.5,4012.0,4010.5,4012.0,109
1735890000000,4012.0,4012.0,4000.5,4006.0,1789
1735890060000,4006.0,4006.0,4000.5,4002.0,1201
1735890120000,4001.5,4002.5,3996.0,3997.0,778
1735890180000,3997.0,3999.5,3995.5,3996.0,849
1735890240000,3996.0,4000.0,3996.0,3999.0,95
1735890300000,4000.0,4000.0,3995.0,3998.5,1632
1735890360000,3999.0,3999.0,3996.5,3996.5,1880
1735890420000,3995.5,3999.0,3994.5,3995.5,1331
1735890480000,3996.0,4003.0,3995.0,4003.0,1261
1735890540000,4003.0,4003.0,3997.5,3997.5,1166
1735890600000,3997.5,3997.5,3991.5,3991.5,716
1735890660000,3993.0,3993.0,3990.0,3990.0,3548
1735890720000,3990.0,3990.5,3978.5,3980.0,10685
1735890780000,3981.5,3989.5,3980.0,3988.0,2662
1735890840000,3985.5,3991.5,3985.5,3990.5,3123
1735890900000,3991.0,3992.0,3990.0,3990.0,1669
1735890960000,3990.0,4003.0,3990.0,3995.5,7162
1735891020000,3995.0,3996.0,3990.5,3996.0,3608
1735891080000,3994.5,4000.0,3994.5,3998.5,870
1735891140000,3999.0,3999.0,3987.5,3991.0,4185
1735891200000,3989.0,4009.0,3985.5,4009.0,4421
1735891260000,4008.0,4011.0,4001.5,4003.5,1095
1735891320000,4005.5,4007.5,4003.0,4003.0,331
1735891380000,4004.0,4008.0,4003.0,4005.5,3210
1735891440000,4005.0,4008.5,4001.5,4001.5,1831
1735891500000,4003.0,4018.5,4000.5,4002.0,7336
1735891560000,4002.5,4004.0,3994.5,3994.5,1738
1735891620000,3995.5,4000.0,3994.0,3994.5,3510
1735891680000,3995.0,3995.5,3986.5,3995.5,2237
1735891740000,3995.0,4010.5,3993.5,3994.0,8464
1735891800000,3993.5,4010.5,3993.5,4008.0,4588
1735891860000,4009.5,4009.5,3998.0,3998.0,1635
1735891920000,3997.5,4009.0,3997.5,4000.5,3885
1735891980000,4000.5,4008.0,3997.5,4008.0,3347
1735892040000,4008.0,4010.0,4005.0,4007.0,2275
1735892100000,4007.0,4009.0,4004.0,4009.0,2018
1735892160000,4008.5,4010.5,4004.5,4008.0,3708
1735892220000,4008.0,4015.0,4007.0,4015.0,2905
1735892280000,4015.0,4016.5,4011.5,4015.0,1564
1735892340000,4013.5,4017.0,4011.5,4011.5,1367
1735892400000,4011.0,4011.5,4008.0,4008.0,1120
1735892460000,4010.0,4011.0,4005.0,4006.0,2447
1735892520000,4007.0,4008.5,4004.5,4008.5,1731
1735892580000,4007.5,4014.0,4007.5,4014.0,468
1735892640000,4012.0,4019.5,4012.0,4019.5,2432
1735892700000,4020.0,4027.5,4014.0,4015.5,7629
1735892760000,4015.5,4016.5,4009.0,4011.5,1929
1735892820000,4013.0,4014.0,4008.5,4013.5,2644
1735892880000,4013.5,4014.5,4011.5,4014.0,619
1735892940000,4014.0,4014.5,4013.0,4014.0,456
1735893000000,4014.5,4014.5,4003.0,4003.0,7070
1735893060000,4003.0,4003.5,4001.5,4002.5,1827
1735893120000,4002.0,4002.0,3997.5,4000.0,2989
1735893180000,4002.0,4002.0,3995.0,4000.0,2662
1735893240000,4000.0,4001.0,3991.5,3993.0,3428
1735893300000,3993.5,3999.0,3990.0,3999.0,2865
1735893360000,3999.0,3999.0,3994.0,3997.0,1554
1735893420000,3997.0,3998.5,3995.0,3997.0,1717
1735893480000,3997.0,4010.5,3996.0,4008.5,2556
1735893540000,4008.5,4019.5,4001.0,4016.0,3953
1735893600000,4016.0,4016.5,4010.0,4011.5,1309
1735893660000,4012.0,4014.0,4005.5,4014.0,2405
1735893720000,4013.5,4014.5,4009.0,4009.0,188
1735893780000,4010.0,4014.5,4008.0,4009.0,1931
1735893840000,4009.0,4011.5,4005.0,4010.0,563
1735893900000,4009.0,4009.0,4005.0,4008.0,408
1735893960000,4008.0,4008.0,4004.5,4005.0,2274
1735894020000,4005.0,4005.0,4003.5,4003.5,489
1735894080000,4004.5,4005.0,4004.5,4005.0,1768
1735894140000,4004.5,4009.0,4004.5,4009.0,1630
1735894200000,4009.0,4011.0,4009.0,4011.0,1157
1735894260000,4011.0,4011.5,4008.0,4008.0,4273
1735894320000,4008.0,4008.5,4006.5,4006.5,486
1735894380000,4006.5,4007.0,4005.0,4007.0,1405
1735894440000,4005.0,4007.0,4003.0,4005.5,990
1735894500000,4005.0,4005.0,4001.0,4001.5,310
1735894560000,4002.0,4006.5,4001.0,4002.5,1194
1735894620000,4002.5,4007.5,3997.5,4007.0,4297
1735894680000,4005.5,4012.5,4001.5,4009.5,3280
1735894740000,4009.0,4011.5,4007.0,4009.5,416
1735894800000,4010.0,4012.0,4010.0,4010.5,667
1735894860000,4010.0,4012.0,4010.0,4012.0,54
1735894920000,4011.5,4014.5,4011.5,4012.5,682
1735894980000,4013.0,4013.5,4012.5,4013.5,181
1735895040000,4014.0,4017.0,4010.0,4011.0,1819
1735895100000,4010.0,4016.0,4006.5,4015.0,917
1735895160000,4015.0,4017.0,4011.5,4011.5,1355
1735895220000,4010.0,4013.5,4010.0,4013.0,56
1735895280000,4013.0,4013.5,4012.0,4012.0,64
1735895340000,4012.0,4012.5,4012.0,4012.5,130
1735895400000,4012.5,4012.5,4009.0,4009.0,932
1735895460000,4009.0,4009.5,4000.0,4003.5,1767
1735895520000,4003.5,4009.5,4003.5,4009.5,555
1735895580000,4008.5,4008.5,4004.0,4004.0,146
1735895640000,4006.0,4007.5,4004.0,4004.5,205
1735895700000,4006.5,4010.0,4006.5,4009.0,1039
1735895760000,4010.0,4011.0,4008.5,4010.0,576
1735895820000,4010.0,4010.5,4007.0,4007.0,538
1735895880000,4008.0,4015.0,4006.0,4014.5,3084
1735895940000,4015.0,4015.0,4007.5,4010.5,1150
1735896000000,4010.0,4010.5,4003.5,4006.0,1162
1735896060000,4007.5,4008.0,4004.5,4008.0,160
1735896120000,4008.0,4012.0,4008.0,4009.0,373
1735896180000,4010.0,4014.0,4010.0,4014.0,518
1735896240000,4012.0,4014.5,4009.5,4010.5,211
1735896300000,4010.0,4010.5,4005.5,4010.5,391
1735896360000,4007.5,4009.0,4006.0,4009.0,128
1735896420000,4008.0,4009.0,4007.0,4008.5,173
1735896480000,4006.0,4007.5,4006.0,4006.0,70
1735896540000,4006.0,4006.0,3998.0,3998.0,1352
1735896600000,3998.0,3998.5,3991.0,3994.5,2808
1735896660000,3995.5,4000.0,3991.5,3991.5,2007
1735896720000,3995.0,4000.0,3992.0,3992.5,932
1735896780000,3992.5,3996.0,3985.5,3996.0,3011
1735896840000,3996.0,3996.0,3980.0,3981.0,5624
1735896900000,3981.5,3989.5,3979.5,3979.5,6452
1735896960000,3979.5,3980.0,3977.5,3979.5,1678
1735897020000,3980.0,3988.0,3980.0,3985.0,2153
1735897080000,3985.0,3989.0,3979.5,3980.0,1673
1735897140000,3979.5,3981.5,3960.0,3962.0,11216
1735897200000,3962.0,3972.5,3957.0,3971.0,5620
1735897260000,3969.0,3971.0,3959.0,3959.5,4326
1735897320000,3959.5,3959.5,3931.5,3940.0,11709
1735897380000,3939.5,3955.5,3937.5,3955.0,6400
1735897440000,3955.0,3958.0,3923.0,3923.0,12990
1735897500000,3923.0,3948.0,3911.0,3947.0,9836
1735897560000,3947.0,3950.0,3930.0,3934.0,3797
1735897620000,3934.5,3940.0,3932.0,3939.0,11593
1735897680000,3937.5,3939.0,3932.0,3932.0,2345
1735897740000,3932.5,3934.0,3928.5,3930.0,797
1735897800000,3929.5,3932.0,3928.0,3928.0,1756
1735897860000,3928.0,3929.0,3920.5,3920.5,5570
1735897920000,3922.5,3923.0,3902.0,3903.0,15608
1735897980000,3903.0,3910.0,3902.0,3910.0,4413
1735898040000,3910.5,3914.0,3906.0,3911.0,4569
1735898100000,3910.5,3915.0,3902.5,3907.0,5085
1735898160000,3909.5,3913.5,3904.0,3906.5,3094
1735898220000,3905.5,3910.5,3905.5,3907.5,443
1735898280000,3909.5,3909.5,3905.0,3908.0,1851
1735898340000,3908.0,3909.0,3905.5,3907.0,718
1735898400000,3906.5,3906.5,3901.0,3901.5,3577
1735898460000,3901.5,3901.5,3900.5,3901.5,979
1735898520000,3902.0,3909.0,3900.5,3906.5,1883
1735898580000,3908.5,3916.0,3905.0,3911.5,2747
1735898640000,3913.5,3915.0,3909.0,3910.0,4068
1735898700000,3910.5,3910.5,3909.5,3909.5,391
1735898760000,3909.5,3910.0,3909.0,3909.5,282
1735898820000,3909.0,3909.0,3904.0,3904.5,2925
1735898880000,3904.0,3904.5,3902.0,3904.0,319
1735898940000,3903.0,3904.5,3901.0,3901.0,1420
1735899000000,3901.0,3904.5,3901.0,3904.5,702
1735899060000,3904.0,3905.0,3902.0,3905.0,2525
1735899120000,3905.0,3910.5,3905.0,3908.5,1985
1735899180000,3908.5,3914.0,3908.5,3913.0,1323
1735899240000,3911.5,3913.5,3910.0,3910.5,384
1735899300000,3910.5,3911.5,3907.0,3911.5,487
1735899360000,3911.5,3914.5,3911.5,3913.5,490
1735899420000,3914.0,3915.0,3914.0,3914.0,2110
1735899480000,3914.0,3914.5,3912.0,3913.0,1614
1735899540000,3913.0,3915.0,3913.0,3915.0,3798
1735899600000,3915.0,3915.0,3914.5,3915.0,907
1735899660000,3915.0,3916.0,3914.5,3916.0,1129
1735899720000,3916.0,3916.0,3909.5,3912.0,6598
1735899780000,3912.0,3916.0,3912.0,3913.0,1102
1735899840000,3914.5,3916.0,3913.5,3915.5,631
1735899900000,3915.0,3916.0,3913.0,3913.5,419
1735899960000,3914.0,3914.5,3913.5,3914.5,313
1735900020000,3914.5,3914.5,3911.5,3911.5,508
1735900080000,3911.5,3913.5,3911.5,3913.5,228
1735900140000,3912.5,3913.5,3912.5,3912.5,451
1735900200000,3912.5,3913.0,3912.5,3913.0,977
1735900260000,3913.0,3913.0,3910.0,3910.0,481
1735900320000,3910.0,3910.0,3909.0,3909.5,88
1735900380000,3908.5,3910.0,3908.0,3910.0,1176
1735900440000,3910.0,3910.0,3905.0,3906.5,1545
1735900500000,3909.5,3909.5,3906.5,3907.0,1051
1735900560000,3906.5,3907.0,3906.5,3907.0,181
1735900620000,3907.0,3907.5,3905.0,3906.5,1398
1735900680000,3906.0,3906.5,3905.5,3906.5,223
1735900740000,3906.5,3909.5,3906.0,3909.5,914
1735900800000,3909.5,3910.0,3909.0,3910.0,111
1735900860000,3910.0,3910.0,3909.5,3910.0,481
1735900920000,3910.0,3910.0,3909.5,3910.0,1725
1735900980000,3910.0,3910.0,3909.5,3910.0,267
1735901040000,3910.0,3910.0,3903.5,3904.0,3951
1735901100000,3904.0,3904.0,3903.5,3903.5,233
1735901160000,3903.5,3903.5,3892.0,3892.0,7839
1735901220000,3892.0,3897.0,3890.0,3890.0,2687
1735901280000,3891.0,3892.0,3885.0,3887.0,2481
1735901340000,3885.0,3889.0,3883.5,3888.0,3012
1735901400000,3888.0,3889.5,3881.0,3883.5,5112
1735901460000,3882.0,3890.0,3877.0,3890.0,5533
1735901520000,3889.5,3898.5,3885.0,3892.0,5719
1735901580000,3890.5,3890.5,3883.5,3886.0,2054
1735901640000,3885.5,3886.5,3882.0,3882.5,1907
1735901700000,3882.5,3889.5,3882.5,3887.0,1049
1735901760000,3887.0,3887.0,3883.0,3886.0,391
1735901820000,3886.0,3889.5,3886.0,3889.0,240
1735901880000,3886.5,3890.5,3886.0,3890.0,822
1735901940000,3890.0,3893.5,3890.0,3893.5,469
1735902000000,3893.5,3893.5,3887.0,3890.5,1614
1735902060000,3890.5,3891.0,3890.0,3890.5,600
1735902120000,3890.0,3890.5,3887.5,3887.5,1768
1735902180000,3887.0,3890.5,3886.5,3890.0,1163
1735902240000,3889.0,3890.5,3886.5,3890.5,883
1735902300000,3888.0,3890.0,3886.5,3889.0,864
1735902360000,3889.0,3889.0,3886.0,3886.0,491
1735902420000,3886.5,3887.0,3885.5,3886.5,116
1735902480000,3885.5,3886.0,3883.0,3883.0,554
1735902540000,3884.0,3884.0,3881.0,3881.0,512
1735902600000,3881.5,3882.0,3869.5,3871.0,7964
1735902660000,3870.5,3875.5,3869.0,3872.0,2538
1735902720000,3872.0,3872.0,3863.0,3865.0,3796
1735902780000,3866.5,3868.0,3864.5,3867.0,653
1735902840000,3866.5,3867.0,3866.5,3867.0,437
1735902900000,3867.0,3871.0,3867.0,3870.0,1568
1735902960000,3869.5,3872.0,3867.5,3872.0,1888
1735903020000,3871.0,3879.5,3871.0,3879.5,1987
1735903080000,3879.5,3881.0,3878.0,3880.0,541
1735903140000,3880.0,3882.0,3878.0,3882.0,844
1735903200000,3882.0,3883.0,3879.5,3881.5,415
1735903260000,3882.0,3882.0,3880.0,3881.0,81
1735903320000,3881.5,3882.5,3879.5,3882.5,1258
1735903380000,3881.5,3887.5,3881.0,3885.5,1035
1735903440000,3886.5,3887.0,3885.0,3885.5,344
1735903500000,3886.0,3886.0,3885.0,3886.0,277
1735903560000,3886.0,3892.5,3886.0,3892.5,1938
1735903620000,3892.5,3896.0,3892.5,3893.5,2682
1735903680000,3893.0,3895.5,3892.0,3895.5,250
1735903740000,3895.5,3896.0,3893.0,3895.5,361
1735903800000,3895.5,3896.0,3895.0,3895.0,1683
1735903860000,3895.5,3895.5,3892.5,3894.5,528
1735903920000,3893.5,3894.5,3890.0,3893.0,1854
1735903980000,3894.0,3894.5,3892.5,3894.5,200
1735904040000,3894.5,3894.5,3889.5,3889.5,683
1735904100000,3889.0,3894.0,3888.5,3894.0,211
1735904160000,3892.5,3894.0,3890.5,3893.5,191
1735904220000,3893.5,3893.5,3890.0,3890.0,37
1735904280000,3890.0,3892.0,3890.0,3890.5,59
1735904340000,3891.0,3897.0,3891.0,3897.0,874
1735904400000,3897.0,3898.5,3897.0,3898.5,617
1735904460000,3898.5,3900.0,3898.0,3900.0,1577
1735904520000,3900.0,3900.0,3899.5,3900.0,1392
1735904580000,3900.0,3900.0,3899.5,3900.0,12839
1735904640000,3900.0,3900.0,3899.5,3900.0,4020
1735904700000,3900.0,3900.0,3899.5,3900.0,3793
1735904760000,3900.0,3900.0,3899.5,3900.0,215
1735904820000,3900.0,3900.0,3899.5,3899.5,1074
1735904880000,3899.5,3900.0,3899.5,3900.0,251
1735904940000,3899.5,3900.0,3899.5,3899.5,1374
1735905000000,3899.5,3900.0,3898.0,3898.0,727
1735905060000,3899.0,3900.0,3899.0,3899.5,7828
1735905120000,3900.0,3900.0,3895.5,3896.5,1023
1735905180000,3896.0,3897.0,3895.5,3896.5,144
1735905240000,3897.5,3897.5,3896.5,3896.5,77
1735905300000,3897.5,3899.0,3897.0,3898.0,426
1735905360000,3898.0,3899.0,3898.0,3898.0,137
1735905420000,3898.0,3899.5,3897.5,3898.0,602
1735905480000,3898.0,3899.0,3897.5,3898.0,235
1735905540000,3897.5,3901.0,3896.0,3900.5,2549
1735905600000,3901.0,3901.0,3896.0,3896.0,2258
1735905660000,3896.0,3896.5,3888.0,3889.0,9037
1735905720000,3889.0,3892.5,3889.0,3892.0,683
1735905780000,3892.5,3895.0,3892.0,3893.5,113
1735905840000,3895.0,3896.0,3893.0,3895.5,486
1735905900000,3895.5,3896.0,3893.5,3893.5,885
1735905960000,3893.5,3895.5,3893.5,3894.5,125
1735906020000,3894.5,3895.5,3894.0,3894.0,74
1735906080000,3894.0,3894.5,3894.0,3894.0,55
1735906140000,3894.5,3895.0,3894.0,3894.5,81
1735906200000,3894.0,3895.0,3893.5,3894.0,229
1735906260000,3893.5,3896.0,3893.5,3895.0,2723
1735906320000,3895.0,3900.5,3895.0,3900.0,2317
1735906380000,3900.0,3900.5,3899.5,3899.5,1493
1735906440000,3899.5,3900.0,3896.5,3898.5,316
1735906500000,3898.5,3899.0,3896.0,3897.0,123
1735906560000,3896.5,3899.0,3896.0,3898.0,300
1735906620000,3898.5,3901.0,3898.0,3900.5,1715
1735906680000,3900.5,3905.0,3900.5,3904.0,1695
1735906740000,3903.5,3906.5,3901.5,3905.5,1137
1735906800000,3903.0,3903.5,3899.0,3899.5,706
1735906860000,3899.0,3907.0,3899.0,3905.0,565
1735906920000,3905.0,3907.5,3903.5,3903.5,1359
1735906980000,3903.5,3904.5,3902.0,3903.0,156
1735907040000,3902.5,3904.5,3902.5,3903.0,949
1735907100000,3905.0,3905.0,3897.0,3897.0,940
1735907160000,3897.0,3898.5,3897.0,3898.0,170
1735907220000,3897.0,3899.5,3896.5,3898.0,159
1735907280000,3898.0,3899.5,3897.5,3898.0,67
1735907340000,3898.0,3899.0,3897.0,3897.0,81
1735907400000,3897.0,3901.5,3897.0,3900.0,279
1735907460000,3900.5,3903.0,3900.5,3901.5,82
1735907520000,3901.5,3903.0,3897.5,3900.0,1095
1735907580000,3899.0,3900.0,3897.0,3897.0,53
1735907640000,3898.0,3899.5,3896.5,3897.5,527
1735907700000,3897.5,3901.0,3896.0,3898.5,893
1735907760000,3898.5,3901.0,3897.0,3899.0,320
1735907820000,3899.0,3900.0,3887.0,3887.5,8191
1735907880000,3887.5,3888.5,3880.0,3883.0,3069
1735907940000,3883.0,3886.5,3883.0,3886.5,572
1735908000000,3886.5,3888.5,3886.0,3887.5,142
1735908060000,3886.0,3888.0,3885.5,3885.5,534
1735908120000,3885.5,3887.0,3885.5,3885.5,423
1735908180000,3885.5,3886.0,3885.5,3885.5,72
1735908240000,3885.5,3886.0,3885.0,3885.5,314
1735908300000,3886.0,3887.0,3885.0,3885.0,58
1735908360000,3885.0,3890.5,3883.0,3883.5,2099
1735908420000,3883.0,3887.0,3883.0,3885.5,557
1735908480000,3885.5,3885.5,3881.5,3881.5,2207
1735908540000,3881.0,3883.5,3881.0,3882.5,898
1735908600000,3882.5,3887.0,3882.5,3885.5,233
1735908660000,3885.5,3888.5,3885.5,3887.0,113
1735908720000,3887.0,3890.5,3886.0,3887.5,358
1735908780000,3887.5,3890.0,3882.0,3882.0,598
1735908840000,3882.0,3882.5,3882.0,3882.0,301
1735908900000,3882.0,3882.5,3882.0,3882.0,561
1735908960000,3882.0,3882.5,3877.5,3877.5,2370
1735909020000,3877.5,3878.5,3877.0,3878.5,193
1735909080000,3879.0,3879.5,3879.0,3879.0,91
1735909140000,3879.5,3880.0,3877.5,3877.5,173
1735909200000,3877.5,3879.5,3875.0,3875.0,740
1735909260000,3875.0,3875.5,3870.5,3871.5,1742
1735909320000,3871.5,3878.5,3870.0,3873.0,4926
1735909380000,3874.0,3876.5,3872.5,3873.0,941
1735909440000,3874.0,3891.5,3874.0,3884.5,2734
1735909500000,3884.0,3884.5,3882.0,3882.0,384
1735909560000,3882.0,3885.0,3882.0,3885.0,189
1735909620000,3884.0,3885.0,3878.5,3879.5,387
