time,open,high,low,close,volume
2023-01-03 09:00:00,90.59,90.59,90.25,90.3,17
2023-01-03 09:10:00,90.29,90.29,90.21,90.21,4
2023-01-03 09:20:00,90.14,90.14,89.76,89.88,45
2023-01-03 09:30:00,89.96,90.0,89.81,89.87,26
2023-01-03 09:40:00,89.87,89.87,89.79,89.79,8
2023-01-03 09:50:00,90.0,90.22,90.0,90.21,14
2023-01-03 10:00:00,90.23,90.32,90.23,90.28,12
2023-01-03 10:10:00,90.28,90.34,90.28,90.29,18
2023-01-03 10:20:00,90.31,90.41,90.28,90.38,11
2023-01-03 10:30:00,90.44,90.61,90.43,90.61,24
2023-01-03 10:40:00,90.67,90.84,90.67,90.84,86
2023-01-03 10:50:00,90.86,90.93,90.86,90.9,13
2023-01-03 11:00:00,90.89,91.14,90.79,90.89,25
2023-01-03 11:10:00,90.86,90.86,90.72,90.77,7
2023-01-03 11:20:00,90.82,90.89,90.65,90.76,26
2023-01-03 11:30:00,90.76,90.8,90.72,90.8,3
2023-01-03 11:40:00,90.73,90.93,90.72,90.93,16
2023-01-03 11:50:00,90.89,90.89,90.63,90.66,20
2023-01-03 12:00:00,90.6,90.66,90.54,90.54,16
2023-01-03 12:10:00,90.53,90.68,90.51,90.68,15
2023-01-03 12:20:00,90.7,90.7,90.55,90.57,12
2023-01-03 12:30:00,90.56,90.56,90.45,90.45,13
2023-01-03 12:40:00,90.43,90.48,90.31,90.31,18
2023-01-03 12:50:00,90.28,90.28,90.21,90.21,27
2023-01-03 13:00:00,90.22,90.23,90.0,90.0,13
2023-01-03 13:10:00,90.0,90.09,89.9,90.07,22
2023-01-03 13:20:00,90.05,90.05,89.92,90.0,4
2023-01-03 13:30:00,89.97,89.97,89.62,89.92,23
2023-01-03 13:40:00,89.93,89.97,89.63,89.84,150
2023-01-03 13:50:00,89.85,89.92,89.85,89.86,27
2023-01-03 14:00:00,89.88,89.9,89.84,89.86,20
2023-01-03 14:10:00,89.87,90.19,89.86,90.19,80
2023-01-03 14:20:00,90.2,90.37,90.2,90.32,29
2023-01-03 14:30:00,90.33,90.44,90.31,90.37,21
2023-01-03 14:40:00,90.37,90.37,90.2,90.2,16
2023-01-03 14:50:00,90.15,90.15,90.1,90.1,6
2023-01-03 15:00:00,90.12,90.2,90.12,90.16,17
2023-01-03 15:10:00,90.16,90.16,90.15,90.15,6
2023-01-03 15:20:00,90.3,90.31,90.21,90.25,8
2023-01-03 15:30:00,90.22,90.25,90.17,90.17,66
2023-01-03 15:40:00,90.2,90.2,90.07,90.08,36
2023-01-03 16:00:00,90.18,90.38,90.18,90.37,32
2023-01-03 16:10:00,90.44,90.48,90.44,90.44,6
2023-01-03 16:20:00,90.44,90.66,90.34,90.34,26
2023-01-03 16:30:00,90.28,90.32,90.26,90.32,49
2023-01-03 16:40:00,90.49,90.52,90.37,90.37,3
2023-01-03 16:50:00,90.29,90.34,90.22,90.34,55
2023-01-03 17:00:00,90.11,90.11,90.1,90.1,3
2023-01-03 17:10:00,90.08,90.13,89.91,90.05,16
2023-01-03 17:20:00,90.09,90.09,89.94,90.0,16
2023-01-03 17:30:00,90.0,90.0,89.93,90.0,5
2023-01-03 17:40:00,90.0,90.14,89.99,89.99,11
2023-01-03 17:50:00,90.12,90.59,90.12,90.31,16
2023-01-03 18:00:00,90.48,90.49,90.4,90.4,17
2023-01-03 18:10:00,90.48,90.5,90.0,90.0,17
2023-01-03 18:20:00,89.97,89.99,89.94,89.99,5
2023-01-03 18:30:00,89.96,89.99,89.93,89.93,9
2023-01-03 18:40:00,90.0,90.15,90.0,90.09,8
2023-01-03 19:00:00,90.35,90.35,90.11,90.11,8
2023-01-03 19:10:00,90.0,90.0,89.92,89.92,17
2023-01-03 19:20:00,89.94,89.94,89.81,89.85,99
2023-01-03 19:30:00,89.75,89.8,89.68,89.68,17
2023-01-03 19:40:00,89.69,89.74,89.63,89.72,16
2023-01-03 19:50:00,89.69,89.78,89.66,89.66,10
2023-01-03 20:00:00,89.63,89.7,89.58,89.7,18
2023-01-03 20:10:00,89.6,89.8,89.6,89.68,10
2023-01-03 20:20:00,89.67,89.67,89.43,89.61,101
2023-01-03 20:30:00,89.6,89.65,89.52,89.58,14
2023-01-03 20:40:00,89.5,89.63,89.5,89.54,6
2023-01-03 20:50:00,89.61,89.62,89.61,89.62,2
2023-01-03 21:00:00,89.55,89.55,89.5,89.5,12
2023-01-03 21:10:00,89.57,89.58,89.57,89.58,7
2023-01-03 21:20:00,89.58,89.65,89.58,89.65,4
2023-01-03 21:30:00,89.61,89.63,89.53,89.55,22
2023-01-03 21:40:00,89.48,89.48,89.3,89.3,52
2023-01-03 21:50:00,89.32,89.34,89.18,89.33,28
2023-01-03 22:00:00,89.19,89.24,89.01,89.01,31
2023-01-03 22:10:00,89.0,89.19,88.98,89.07,29
2023-01-03 22:20:00,89.06,89.06,88.89,88.9,16
2023-01-03 22:30:00,88.96,88.97,88.83,88.96,31
2023-01-03 22:40:00,88.97,89.08,88.94,89.06,14
2023-01-03 22:50:00,88.92,88.94,88.92,88.94,7
2023-01-03 23:00:00,88.83,88.89,88.82,88.86,19
2023-01-03 23:10:00,88.9,89.0,88.9,89.0,12
2023-01-03 23:20:00,88.9,88.9,88.87,88.87,4
2023-01-03 23:30:00,88.91,88.91,88.91,88.91,5
2023-01-03 23:40:00,88.99,89.07,88.87,88.87,70
2023-01-04 09:00:00,88.9,88.9,87.87,87.94,204
2023-01-04 09:10:00,87.94,88.06,87.93,88.0,26
2023-01-04 09:20:00,87.93,88.04,87.93,88.04,13
2023-01-04 09:30:00,88.03,88.17,87.84,87.99,111
2023-01-04 09:40:00,87.95,87.95,87.88,87.94,15
2023-01-04 09:50:00,87.95,87.96,87.95,87.96,5
2023-01-04 10:00:00,87.97,87.99,87.59,87.74,165
2023-01-04 10:10:00,87.81,87.95,87.76,87.88,48
2023-01-04 10:20:00,87.88,87.89,87.74,87.76,59
2023-01-04 10:30:00,87.76,87.89,87.75,87.79,52
2023-01-04 10:40:00,87.79,87.82,87.78,87.8,19
2023-01-04 10:50:00,87.82,87.83,87.67,87.67,23
2023-01-04 11:00:00,87.67,87.67,87.14,87.14,98
2023-01-04 11:10:00,87.19,87.27,87.1,87.17,34
2023-01-04 11:20:00,87.13,87.35,87.1,87.3,36
2023-01-04 11:30:00,87.31,87.48,87.25,87.48,21
2023-01-04 11:40:00,87.44,87.61,87.32,87.32,11
2023-01-04 11:50:00,87.3,87.35,87.3,87.35,8
2023-01-04 12:00:00,87.35,87.35,87.08,87.15,41
2023-01-04 12:10:00,87.15,87.18,87.06,87.14,23
2023-01-04 12:20:00,87.27,87.31,87.2,87.3,19
2023-01-04 12:30:00,87.32,87.32,87.27,87.27,9
2023-01-04 12:40:00,87.28,87.28,87.1,87.22,30
2023-01-04 12:50:00,87.27,87.27,87.25,87.25,7
2023-01-04 13:00:00,87.24,87.34,87.24,87.34,17
2023-01-04 13:10:00,87.23,87.23,87.23,87.23,1
2023-01-04 13:20:00,87.2,87.2,87.15,87.15,19
2023-01-04 13:30:00,87.17,87.17,87.15,87.15,5
2023-01-04 13:40:00,87.15,87.15,86.92,87.0,58
2023-01-04 13:50:00,86.88,86.92,86.83,86.92,22
2023-01-04 14:00:00,87.0,87.05,86.6,86.63,19
2023-01-04 14:10:00,86.63,86.79,86.6,86.78,25
2023-01-04 14:20:00,86.82,86.83,86.82,86.83,37
2023-01-04 14:30:00,86.82,86.82,86.59,86.59,64
2023-01-04 14:40:00,86.67,86.76,86.67,86.71,13
2023-01-04 14:50:00,86.74,86.79,86.66,86.69,26
2023-01-04 15:00:00,86.7,86.7,86.45,86.45,27
2023-01-04 15:10:00,86.56,86.83,86.56,86.82,16
2023-01-04 15:20:00,86.78,86.78,86.59,86.75,25
2023-01-04 15:30:00,86.8,86.8,86.65,86.65,9
2023-01-04 15:40:00,86.63,86.85,86.63,86.75,15
2023-01-04 15:50:00,86.78,86.86,86.65,86.65,14
2023-01-04 16:00:00,86.74,87.0,86.7,86.88,31
2023-01-04 16:10:00,86.88,86.88,86.68,86.83,32
2023-01-04 16:20:00,86.91,87.32,86.91,87.15,38
2023-01-04 16:30:00,87.16,87.21,87.09,87.17,12
2023-01-04 16:40:00,87.21,87.25,86.98,87.22,20
2023-01-04 16:50:00,87.11,87.13,87.11,87.13,7
2023-01-04 17:00:00,87.21,87.22,87.15,87.17,36
2023-01-04 17:10:00,87.18,87.27,86.97,86.98,36
2023-01-04 17:20:00,86.92,86.94,86.77,86.8,27
2023-01-04 17:30:00,86.76,86.87,86.76,86.87,26
2023-01-04 17:40:00,86.82,86.86,86.75,86.75,25
2023-01-04 17:50:00,86.71,86.72,86.42,86.52,42
2023-01-04 18:00:00,86.44,86.61,86.43,86.6,38
2023-01-04 18:10:00,86.4,86.48,86.23,86.26,38
2023-01-04 18:20:00,86.29,86.33,86.22,86.28,46
2023-01-04 18:30:00,86.22,86.28,86.1,86.15,45
2023-01-04 18:40:00,86.17,86.17,86.09,86.09,11
2023-01-04 19:00:00,86.01,86.1,85.49,86.1,78
2023-01-04 19:10:00,86.1,86.53,86.1,86.34,59
2023-01-04 19:20:00,86.3,86.33,86.16,86.28,25
2023-01-04 19:30:00,86.29,86.36,86.19,86.3,27
2023-01-04 19:40:00,86.29,86.29,86.02,86.19,38
2023-01-04 19:50:00,86.21,86.31,86.19,86.31,23
2023-01-04 20:00:00,86.35,86.37,86.34,86.37,10
2023-01-04 20:10:00,86.4,86.52,86.38,86.5,10
2023-01-04 20:20:00,86.5,86.56,86.48,86.55,12
2023-01-04 20:30:00,86.53,86.55,86.48,86.48,6
2023-01-04 20:40:00,86.5,86.58,86.41,86.58,34
2023-01-04 20:50:00,86.43,86.43,86.27,86.27,38
2023-01-04 21:00:00,86.27,86.35,86.23,86.35,5
2023-01-04 21:10:00,86.37,86.37,86.35,86.36,15
2023-01-04 21:20:00,86.34,86.37,86.31,86.37,6
2023-01-04 21:30:00,86.4,86.43,86.4,86.43,4
2023-01-04 21:40:00,86.5,86.5,86.47,86.47,14
2023-01-04 21:50:00,86.47,86.47,86.41,86.41,21
2023-01-04 22:00:00,86.44,86.5,86.41,86.41,26
2023-01-04 22:10:00,86.35,86.35,86.22,86.24,11
2023-01-04 22:20:00,86.21,86.21,86.0,86.02,23
2023-01-04 22:30:00,86.02,86.03,85.9,85.93,29
2023-01-04 22:40:00,85.93,85.93,85.89,85.9,6
2023-01-04 22:50:00,85.88,85.98,85.82,85.95,97
2023-01-04 23:00:00,85.89,85.89,85.89,85.89,1
2023-01-04 23:10:00,85.9,85.93,85.82,85.82,65
2023-01-04 23:20:00,85.83,85.83,85.7,85.74,89
2023-01-04 23:30:00,85.72,85.72,85.56,85.56,56
2023-01-04 23:40:00,85.56,85.57,85.49,85.53,54
2023-01-05 09:00:00,86.21,86.27,86.02,86.25,68
2023-01-05 09:10:00,86.23,86.23,86.04,86.18,29
2023-01-05 09:20:00,86.12,86.12,85.98,86.08,55
2023-01-05 09:30:00,86.11,86.11,86.07,86.07,15
2023-01-05 09:40:00,86.08,86.08,85.9,85.98,14
2023-01-05 09:50:00,85.98,86.08,85.98,86.08,8
2023-01-05 10:00:00,86.08,86.08,85.97,85.98,11
2023-01-05 10:10:00,86.05,86.05,85.9,85.9,4
2023-01-05 10:20:00,85.91,85.97,85.9,85.95,14
2023-01-05 10:30:00,85.95,86.12,85.95,86.12,4
2023-01-05 10:40:00,86.06,86.12,86.05,86.05,5
2023-01-05 10:50:00,86.0,86.02,85.9,86.02,16
2023-01-05 11:00:00,86.02,86.05,85.99,86.05,5
2023-01-05 11:10:00,85.94,86.01,85.94,86.0,3
2023-01-05 11:20:00,85.9,86.07,85.8,86.07,21
2023-01-05 11:30:00,86.12,86.12,86.0,86.0,6
2023-01-05 11:40:00,85.93,85.93,85.43,85.7,60
2023-01-05 11:50:00,85.65,85.9,85.64,85.9,17
2023-01-05 12:00:00,85.91,85.91,85.6,85.6,48
2023-01-05 12:10:00,85.63,86.13,85.62,86.06,51
2023-01-05 12:20:00,86.08,86.1,86.06,86.1,32
2023-01-05 12:30:00,86.18,86.28,86.18,86.23,43
2023-01-05 12:40:00,86.2,86.22,86.17,86.19,10
2023-01-05 12:50:00,86.21,86.5,86.21,86.47,24
2023-01-05 13:00:00,86.49,86.51,86.37,86.37,16
2023-01-05 13:10:00,86.33,86.33,86.29,86.3,80
2023-01-05 13:20:00,86.37,86.38,86.28,86.29,24
2023-01-05 13:30:00,86.38,86.46,86.38,86.38,15
2023-01-05 13:40:00,86.36,86.42,86.36,86.42,24
2023-01-05 13:50:00,86.43,86.43,86.34,86.34,5
2023-01-05 14:00:00,86.24,86.24,86.08,86.08,10
2023-01-05 14:10:00,86.09,86.24,86.09,86.2,7
2023-01-05 14:20:00,86.15,86.24,86.11,86.11,3
2023-01-05 14:30:00,86.11,86.11,86.02,86.02,51
2023-01-05 14:40:00,86.15,86.15,86.14,86.14,3
2023-01-05 14:50:00,86.04,86.04,86.0,86.0,4
2023-01-05 15:00:00,86.0,86.0,86.0,86.0,13
2023-01-05 15:10:00,86.05,86.06,86.05,86.06,3
2023-01-05 15:20:00,86.12,86.29,86.06,86.29,22
2023-01-05 15:30:00,86.13,86.15,86.13,86.15,8
2023-01-05 15:40:00,86.07,86.07,86.04,86.04,22
2023-01-05 15:50:00,86.07,86.07,86.07,86.07,1
2023-01-05 16:00:00,86.05,86.17,86.01,86.02,21
2023-01-05 16:10:00,86.02,86.06,86.0,86.0,15
2023-01-05 16:20:00,86.01,86.01,86.0,86.0,6
2023-01-05 16:30:00,86.0,86.0,85.78,85.78,16
2023-01-05 16:40:00,85.79,85.79,85.65,85.73,11
2023-01-05 16:50:00,85.73,85.82,85.55,85.55,566
2023-01-05 17:00:00,85.52,85.52,84.76,85.05,173
2023-01-05 17:10:00,85.03,85.07,84.7,84.78,89
2023-01-05 17:20:00,84.72,85.0,84.67,85.0,70
2023-01-05 17:30:00,84.97,85.19,84.92,84.92,181
2023-01-05 17:40:00,84.92,85.13,84.92,85.11,14
2023-01-05 17:50:00,85.15,85.32,85.1,85.26,23
2023-01-05 18:00:00,85.1,85.3,85.05,85.3,96
2023-01-05 18:10:00,85.29,85.32,85.27,85.27,43
2023-01-05 18:20:00,85.25,85.25,85.18,85.24,5
2023-01-05 18:30:00,85.26,85.47,85.23,85.4,82
2023-01-05 18:40:00,85.4,85.5,85.38,85.43,24
2023-01-05 19:00:00,85.79,85.79,85.58,85.62,10
2023-01-05 19:10:00,85.79,86.17,85.79,85.81,15
2023-01-05 19:20:00,85.85,85.86,85.59,85.6,112
2023-01-05 19:30:00,85.6,85.6,85.45,85.52,144
2023-01-05 19:40:00,85.54,85.54,85.42,85.42,34
2023-01-05 19:50:00,85.39,85.4,85.39,85.4,11
2023-01-05 20:00:00,85.29,85.29,85.0,85.0,21
2023-01-05 20:10:00,85.0,85.0,84.77,84.89,13
2023-01-05 20:20:00,84.86,85.02,84.86,85.02,7
2023-01-05 20:30:00,85.07,85.19,85.07,85.17,163
2023-01-05 20:40:00,85.17,85.54,85.17,85.54,46
2023-01-05 20:50:00,85.49,85.49,85.49,85.49,3
2023-01-05 21:00:00,85.39,85.65,85.38,85.64,6
2023-01-05 21:10:00,85.72,85.77,85.72,85.77,16
2023-01-05 21:20:00,85.78,85.84,85.78,85.84,6
2023-01-05 21:30:00,85.8,86.13,85.8,86.03,22
2023-01-05 21:40:00,86.04,86.04,85.92,85.95,8
2023-01-05 21:50:00,85.83,85.84,85.67,85.67,55
2023-01-05 22:00:00,85.62,85.62,85.62,85.62,1
2023-01-05 22:10:00,85.5,85.5,85.39,85.45,7
2023-01-05 22:20:00,85.2,85.25,85.17,85.17,23
2023-01-05 22:30:00,85.33,85.33,85.33,85.33,5
2023-01-05 22:40:00,85.44,85.52,85.44,85.52,8
2023-01-05 22:50:00,85.4,85.4,85.4,85.4,2
2023-01-05 23:10:00,85.47,85.47,85.47,85.47,1
2023-01-05 23:30:00,85.47,85.47,85.47,85.47,1
2023-01-05 23:40:00,85.43,85.55,85.43,85.55,53
2023-01-06 09:00:00,85.67,85.79,85.64,85.65,156
2023-01-06 09:10:00,85.71,85.74,85.71,85.74,19
2023-01-06 09:20:00,85.76,85.77,85.71,85.71,7
2023-01-06 09:30:00,85.74,85.78,85.74,85.78,13
2023-01-06 09:40:00,85.88,85.88,85.72,85.72,6
2023-01-06 09:50:00,85.72,85.72,85.71,85.71,2
2023-01-06 10:00:00,85.7,85.7,85.7,85.7,1
2023-01-06 10:10:00,85.64,85.67,85.64,85.67,6
2023-01-06 10:20:00,85.44,85.62,85.42,85.42,24
2023-01-06 10:30:00,85.45,85.46,85.45,85.46,5
2023-01-06 10:40:00,85.43,85.47,85.33,85.33,14
2023-01-06 10:50:00,85.36,85.49,85.36,85.4,10
2023-01-06 11:00:00,85.41,85.46,85.3,85.36,8
2023-01-06 11:10:00,85.25,85.25,85.17,85.17,60
2023-01-06 11:20:00,85.2,85.35,85.2,85.35,23
2023-01-06 11:30:00,85.4,85.43,85.32,85.36,18
2023-01-06 11:40:00,85.31,85.34,85.28,85.3,12
2023-01-06 11:50:00,85.34,85.34,85.28,85.28,5
2023-01-06 12:00:00,85.26,85.26,85.18,85.18,23
2023-01-06 12:10:00,85.18,85.19,85.15,85.15,43
2023-01-06 12:20:00,85.11,85.15,85.1,85.13,7
2023-01-06 12:30:00,85.2,85.46,85.2,85.46,30
