time,open,high,low,close,volume
1402261200000,144,146.2,143.03,144.4,40347300
1402347600000,144.31,144.76,142.67,144.75,41460990
1402434000000,145.2,146.4,143.9,146.4,39418520
1402866000000,144,145.27,142.58,145.2,77165360
1402952400000,145.3,146.37,143.72,144.77,44370530
1403038800000,144.79,146.19,144.43,145,33270240
1403125200000,146.4,147.69,145.04,145.2,44670940
1403211600000,145.05,145.88,144.28,145.6,33779020
1403470800000,146.2,147.27,145.07,147.17,33923270
1403557200000,147.65,153.42,147.56,153.25,87546740
1403643600000,152.48,154.21,149.01,149.26,65879300
1403730000000,149.63,150.44,147.02,147.44,53026000
1403816400000,148,149.88,147.22,149.39,34563280
1404075600000,149.81,150.18,146.58,148.96,35020610
1404162000000,148.51,149.5,146.65,148.97,39080070
1404248400000,149.09,151.95,148.9,151.95,48839500
1404334800000,152,153.66,151.41,152.3,48933580
1404421200000,153,153.09,148.25,149.13,38192290
1404680400000,149.1,151.4,149.09,150.31,34302070
1404766800000,150.53,153.53,150.52,151.43,50005770
1404853200000,151.11,151.77,149.01,150.4,44106880
1404939600000,150.8,151.52,147.1,148.79,58690960
1405026000000,148.85,149.25,146.91,148.15,36005010
1405285200000,148.42,148.8,146.51,147.5,38407230
1405371600000,147.8,148.37,146.52,146.52,55159950
1405458000000,140.35,143.1,140.1,142.5,55942320
1405544400000,140.23,141,138.23,140,61550720
1405630800000,138,139.41,136.5,139.26,53377680
1405890000000,140.3,140.44,135.2,136.01,46735750
1405976400000,136.82,138.87,136.05,137.75,35508000
1406062800000,138.2,139,135.2,136.29,35700000
1406149200000,136,137.36,135.15,136.9,23345280
1406235600000,136.5,136.83,134.22,135.12,35511270
1406494800000,134.54,134.73,130.9,132,44904250
1406581200000,132.08,133.73,130.55,131.31,36865680
1406667600000,130.47,135.41,130.1,133.4,42608490
1406754000000,134.12,135,131.21,132,41187230
1406840400000,130.95,131.99,130.21,131.5,31759700
1407099600000,132,132.79,128.25,129.5,44534400
1407186000000,129.99,130.1,126.28,126.57,46432510
1407272400000,126.11,126.5,123.23,124.7,68355310
1407358800000,124.02,128.77,122.79,126.92,64225030
1407445200000,126.48,129.37,126.33,126.55,56280080
1407704400000,128.01,130.45,127.84,128.61,42448970
1407790800000,128.62,129.95,127.24,128.52,37352200
1407877200000,127.8,131.84,127.7,130.9,56449800
1407963600000,131.2,132.49,130.34,131.8,42747400
1408050000000,131.28,133.47,130.62,132.95,41777190
1408309200000,132.82,134.4,132.11,134.21,28302350
1408395600000,134.29,136.4,134.28,135.8,38553790
1408482000000,136.2,136.8,135.16,136.37,21830800
1408568400000,136.58,137.69,135.55,135.96,33871240
1408654800000,136.52,137.2,134,135,37800620
1408914000000,135.06,136.46,135,136.1,16470480
1409000400000,136.25,136.99,134.71,135.28,26908460
1409086800000,135.9,136.67,135.12,135.51,24990540
1409173200000,135.51,135.74,131.94,133.8,47627370
1409259600000,133.5,134.17,131.81,131.95,35728900
