time,open,high,low,close,volume
2025-06-11 12:20:00,3.4,3.4,3.4,3.4,10
2025-06-16 18:10:00,3.717,3.717,3.717,3.717,1
2025-06-16 18:40:00,3.717,3.717,3.717,3.717,1
2025-06-16 19:50:00,3.735,3.737,3.72,3.72,6
2025-06-16 20:10:00,3.51,3.51,3.507,3.507,6
2025-06-16 20:20:00,3.71,3.71,3.508,3.508,22
2025-06-16 20:50:00,3.508,3.51,3.508,3.51,2
2025-06-16 21:30:00,3.52,3.529,3.52,3.529,2
2025-06-16 22:20:00,3.529,3.636,3.529,3.636,20
2025-06-16 23:30:00,3.601,3.601,3.601,3.601,1
2025-06-16 23:40:00,3.601,3.601,3.6,3.6,3
2025-06-17 14:30:00,3.53,3.56,3.508,3.56,7
2025-06-17 15:00:00,3.58,3.58,3.58,3.58,1
2025-06-17 16:30:00,3.58,3.58,3.58,3.58,2
2025-06-17 17:00:00,3.53,3.53,3.494,3.494,5
2025-06-17 17:10:00,3.557,3.557,3.557,3.557,1
2025-06-17 17:20:00,3.494,3.552,3.377,3.38,13
2025-06-17 17:30:00,3.525,3.525,3.525,3.525,2
2025-06-17 17:40:00,3.52,3.52,3.52,3.52,1
2025-06-17 17:50:00,3.52,3.52,3.52,3.52,2
2025-06-17 18:30:00,3.52,3.52,3.52,3.52,1
2025-06-17 19:10:00,3.5,3.5,3.5,3.5,1
2025-06-17 19:30:00,3.53,3.53,3.5,3.5,4
2025-06-17 22:10:00,3.481,3.481,3.481,3.481,1
2025-06-17 23:30:00,3.48,3.48,3.48,3.48,1
2025-06-18 09:30:00,3.495,3.495,3.495,3.495,1
2025-06-18 11:00:00,3.484,3.484,3.482,3.482,6
2025-06-18 11:10:00,3.46,3.46,3.46,3.46,1
2025-06-18 11:40:00,3.459,3.459,3.459,3.459,8
2025-06-18 11:50:00,3.452,3.452,3.452,3.452,5
2025-06-18 12:00:00,3.451,3.451,3.451,3.451,3
2025-06-18 12:30:00,3.451,3.451,3.451,3.451,10
2025-06-18 12:50:00,3.45,3.45,3.45,3.45,1
2025-06-18 13:20:00,3.45,3.45,3.448,3.448,2
2025-06-18 14:40:00,3.44,3.44,3.438,3.439,8
2025-06-18 14:50:00,3.431,3.431,3.431,3.431,5
2025-06-18 17:00:00,3.45,3.489,3.45,3.452,23
2025-06-18 17:10:00,3.448,3.448,3.448,3.448,2
2025-06-18 18:00:00,3.474,3.474,3.474,3.474,1
2025-06-18 18:10:00,3.44,3.44,3.438,3.438,2
2025-06-18 18:20:00,3.438,3.438,3.438,3.438,1
2025-06-18 18:40:00,3.42,3.42,3.42,3.42,1
2025-06-18 20:10:00,3.4,3.4,3.4,3.4,1
2025-06-18 22:10:00,3.38,3.38,3.38,3.38,1
2025-06-18 22:30:00,3.38,3.38,3.38,3.38,1
2025-06-18 22:40:00,3.39,3.4,3.39,3.4,2
2025-06-18 22:50:00,3.384,3.384,3.364,3.364,10
2025-06-19 09:00:00,3.369,3.37,3.369,3.37,2
2025-06-19 09:40:00,3.364,3.364,3.36,3.36,2
2025-06-19 10:20:00,3.369,3.369,3.369,3.369,2
2025-06-19 11:10:00,3.37,3.386,3.37,3.386,3
2025-06-19 11:20:00,3.385,3.385,3.385,3.385,2
2025-06-19 11:30:00,3.385,3.385,3.385,3.385,7
2025-06-19 11:40:00,3.382,3.382,3.382,3.382,1
2025-06-19 11:50:00,3.386,3.386,3.386,3.386,1
2025-06-19 12:00:00,3.387,3.387,3.387,3.387,1
2025-06-19 12:50:00,3.39,3.417,3.39,3.417,20
2025-06-19 13:10:00,3.412,3.412,3.412,3.412,10
2025-06-19 13:40:00,3.408,3.408,3.407,3.407,3
2025-06-19 14:10:00,3.395,3.395,3.395,3.395,8
2025-06-19 14:30:00,3.42,3.442,3.42,3.442,13
2025-06-19 14:40:00,3.411,3.411,3.411,3.411,2
2025-06-19 14:50:00,3.411,3.412,3.411,3.412,4
2025-06-19 15:00:00,3.413,3.413,3.413,3.413,2
2025-06-19 15:30:00,3.419,3.43,3.419,3.43,7
2025-06-19 15:40:00,3.44,3.46,3.44,3.46,3
2025-06-19 16:20:00,3.445,3.445,3.445,3.445,1
2025-06-19 16:40:00,3.422,3.422,3.419,3.419,5
2025-06-19 17:10:00,3.426,3.426,3.426,3.426,1
2025-06-19 17:20:00,3.427,3.427,3.427,3.427,1
2025-06-19 18:00:00,3.425,3.425,3.425,3.425,1
2025-06-19 18:40:00,3.43,3.43,3.43,3.43,1
2025-06-19 19:20:00,3.489,3.504,3.475,3.475,11
2025-06-19 19:30:00,3.489,3.507,3.489,3.507,10
2025-06-19 19:40:00,3.452,3.452,3.45,3.45,10
2025-06-19 20:00:00,3.45,3.45,3.45,3.45,4
2025-06-19 20:40:00,3.459,3.46,3.459,3.46,3
2025-06-19 21:10:00,3.47,3.48,3.47,3.48,2
2025-06-19 21:40:00,3.475,3.475,3.475,3.475,1
2025-06-19 22:00:00,3.469,3.479,3.469,3.479,11
2025-06-19 22:10:00,3.456,3.456,3.456,3.456,1
2025-06-19 23:40:00,3.471,3.471,3.471,3.471,2
2025-06-20 09:40:00,3.456,3.456,3.456,3.456,1
2025-06-20 09:50:00,3.455,3.455,3.42,3.43,22
2025-06-20 10:00:00,3.44,3.44,3.44,3.44,1
2025-06-20 10:10:00,3.45,3.456,3.45,3.456,6
2025-06-20 10:40:00,3.458,3.458,3.458,3.458,1
2025-06-20 10:50:00,3.459,3.499,3.459,3.499,45
2025-06-20 11:30:00,3.448,3.448,3.445,3.445,10
2025-06-20 12:00:00,3.447,3.447,3.445,3.445,5
2025-06-20 12:10:00,3.445,3.448,3.432,3.432,14
2025-06-20 12:20:00,3.43,3.43,3.41,3.41,18
2025-06-20 12:50:00,3.401,3.401,3.401,3.401,1
2025-06-20 13:00:00,3.401,3.401,3.401,3.401,1
2025-06-20 13:40:00,3.409,3.409,3.35,3.358,45
2025-06-20 13:50:00,3.357,3.358,3.35,3.351,30
2025-06-20 14:00:00,3.341,3.341,3.336,3.336,5
2025-06-20 14:10:00,3.344,3.344,3.344,3.344,1
2025-06-20 14:20:00,3.338,3.341,3.297,3.336,137
2025-06-20 14:30:00,3.335,3.335,3.335,3.335,5
2025-06-20 14:40:00,3.329,3.329,3.327,3.327,3
2025-06-20 14:50:00,3.314,3.328,3.307,3.321,90
2025-06-20 15:00:00,3.321,3.321,3.295,3.318,62
2025-06-20 15:10:00,3.319,3.321,3.319,3.321,4
2025-06-20 15:20:00,3.321,3.366,3.321,3.366,81
2025-06-20 15:40:00,3.361,3.372,3.361,3.372,104
2025-06-20 16:00:00,3.353,3.353,3.35,3.35,33
2025-06-20 16:10:00,3.34,3.34,3.32,3.32,9
2025-06-20 16:20:00,3.317,3.326,3.293,3.309,32
2025-06-20 16:30:00,3.309,3.309,3.308,3.308,16
2025-06-20 16:40:00,3.308,3.308,3.308,3.308,19
2025-06-20 17:00:00,3.316,3.316,3.3,3.3,9
2025-06-20 17:10:00,3.291,3.291,3.273,3.29,21
