time,open,high,low,close,volume
1263157200000,1744,1771,1736.6,1750.98,2149066
1263243600000,1740,1756.88,1707.5,1719.82,1927569
1263330000000,1704.48,1734,1698.6,1709.44,1779730
1263416400000,1720.37,1732,1703.03,1726.8,1998774
1263502800000,1710.55,1754.13,1710.55,1731.95,2007651
1263762000000,1720,1755,1715,1745,1480561
1263848400000,1742.55,1752.4,1722.01,1749,1724153
1263934800000,1745.5,1781.84,1721.01,1726.9,2882814
1264021200000,1740,1741.5,1695.12,1699.98,2664910
1264107600000,1690.99,1692.88,1640,1675.99,2837422
1264366800000,1656.75,1689.5,1651.6,1675,2318422
1264453200000,1655,1659.8,1619,1631.37,2380982
1264539600000,1628.11,1662.87,1598.5,1638.96,2826151
1264626000000,1653,1679.9,1641,1656.1,2359242
1264712400000,1635,1686.73,1632.9,1686.73,2166497
1264971600000,1670,1689.79,1643,1685.3,1639266
1265058000000,1699.8,1711.71,1687.01,1711,2033955
1265144400000,1727.89,1733.38,1691.03,1694.88,2425432
1265230800000,1690.5,1700.86,1645.51,1661.06,2150472
1265317200000,1630,1644,1600.02,1617.04,3108495
1265576400000,1616.24,1634.61,1575,1580.06,2856928
1265662800000,1620,1627,1577.3,1594.29,2503579
1265749200000,1609.48,1611.99,1556.36,1563.04,2255697
1265835600000,1584.66,1584.66,1543.02,1554,2147734
1265922000000,1569.95,1576,1515,1517,2336844
1266181200000,1518,1554,1515.11,1547.55,1272249
1266267600000,1561,1588,1558.7,1583.75,2120024
1266354000000,1591,1595.1,1563.33,1566.01,1712848
1266440400000,1566.04,1575,1534.8,1563.09,2350312
1266526800000,1537,1590,1535,1589.88,2213068
1266958800000,1579,1589,1551.11,1566.83,1445635
1267045200000,1555.15,1572.76,1530.77,1548.88,1427884
1267131600000,1570,1585,1545.31,1579.85,1710068
1267218000000,1589.5,1589.5,1573,1574,466568
1267390800000,1590,1610,1571,1602.37,2221187
1267477200000,1598,1624,1591.5,1622.5,2126069
1267563600000,1616.7,1637.06,1596,1624.16,2232956
