time,open,high,low,close,volume
2025-09-14 14:30:00,15775,15775,15775,15775,1
2025-09-15 10:50:00,15545,15545,15545,15545,1
2025-09-15 17:20:00,15620,16425,15620,16425,5
2025-09-15 17:40:00,15480,15480,15480,15480,1
2025-09-16 09:10:00,15685,15685,15435,15435,5
2025-09-22 10:10:00,15700,15700,15700,15700,1
2025-09-22 14:20:00,15700,15700,15700,15700,1
2025-09-23 09:20:00,15330,15330,15330,15330,1
2025-09-26 23:20:00,15350,15350,15350,15350,1
2025-09-29 09:00:00,15595,15595,15595,15595,1
2025-10-02 16:20:00,15810,15810,15810,15810,1
2025-10-02 16:30:00,15800,15800,15800,15800,1
2025-10-06 15:00:00,15710,15710,15710,15710,1
2025-10-06 21:40:00,15910,15910,15910,15910,1
2025-10-07 09:00:00,15840,15840,15840,15840,1
2025-10-07 14:20:00,15775,15775,15775,15775,1
2025-10-07 16:50:00,15955,15970,15955,15970,2
2025-10-07 17:00:00,15970,16020,15970,16020,2
2025-10-09 15:30:00,16190,16190,16190,16190,1
2025-10-09 16:30:00,16270,16425,16270,16425,8
2025-10-09 17:20:00,16160,16160,16160,16160,1
2025-10-09 17:40:00,16165,16165,16165,16165,1
2025-10-09 18:40:00,16155,16155,16155,16155,1
2025-10-10 19:10:00,16050,16050,16050,16050,1
2025-10-10 19:30:00,16155,16155,16155,16155,1
2025-10-13 19:10:00,16005,16005,16000,16000,2
2025-10-13 20:00:00,16045,16050,16045,16050,2
2025-10-13 20:50:00,16045,16045,16045,16045,1
2025-10-14 10:20:00,15960,15985,15880,15985,3
2025-10-15 21:20:00,16040,16040,16040,16040,5
2025-10-15 22:50:00,15950,15950,15910,15910,3
2025-10-16 11:00:00,15980,15980,15980,15980,4
2025-10-16 20:40:00,15865,15955,15810,15955,7
2025-10-16 21:20:00,15950,15955,15950,15955,11
2025-10-16 22:50:00,15850,15850,15850,15850,1
2025-10-17 10:50:00,15810,15810,15810,15810,1
2025-10-17 14:20:00,15850,15870,15850,15870,2
2025-10-17 15:50:00,15865,15865,15865,15865,1
2025-10-19 10:00:00,15885,15885,15885,15885,1
2025-10-20 19:20:00,15935,15935,15935,15935,1
2025-10-20 20:40:00,15935,15935,15935,15935,1
2025-10-21 21:50:00,15865,15865,15865,15865,1
2025-10-22 11:00:00,15865,15865,15865,15865,1
2025-10-22 11:10:00,15800,15800,15795,15795,6
2025-10-22 15:00:00,15745,15745,15745,15745,1
2025-10-22 20:30:00,15870,15875,15870,15875,2
2025-10-22 22:00:00,15740,15740,15740,15740,1
2025-10-23 10:20:00,15880,15880,15880,15880,1
2025-10-23 10:30:00,15770,15770,15770,15770,1
2025-10-23 11:10:00,15835,15835,15835,15835,1
2025-10-23 12:20:00,15900,15975,15900,15975,6
2025-10-23 12:30:00,15975,15975,15975,15975,4
2025-10-23 13:30:00,15970,15970,15970,15970,1
2025-10-23 17:40:00,16055,16055,16055,16055,1
2025-10-23 19:10:00,15935,15935,15900,15920,3
2025-10-23 22:30:00,15940,15940,15905,15905,4
2025-10-23 22:40:00,15900,15900,15900,15900,1
2025-10-23 23:40:00,16000,16000,16000,16000,2
2025-10-24 12:20:00,15895,15895,15895,15895,1
2025-10-24 13:40:00,15900,15900,15895,15895,2
2025-10-24 19:10:00,15905,15910,15905,15910,2
2025-10-24 20:20:00,15910,15910,15910,15910,1
2025-10-24 21:00:00,15845,15845,15845,15845,1
2025-10-27 12:20:00,15900,15990,15900,15990,4
2025-10-27 17:00:00,15910,15910,15910,15910,2
2025-10-28 10:40:00,15875,15875,15875,15875,1
2025-10-28 12:10:00,15730,15730,15675,15675,4
2025-10-28 14:40:00,15635,15635,15625,15625,2
2025-10-28 17:30:00,15790,15790,15790,15790,1
2025-10-29 17:40:00,15755,15955,15755,15955,8
2025-10-29 18:20:00,15855,15855,15855,15855,1
2025-10-30 15:30:00,15840,15840,15835,15835,2
2025-10-30 15:40:00,15805,15805,15800,15800,3
2025-10-30 20:50:00,15840,15840,15840,15840,1
2025-10-30 22:20:00,15650,15650,15650,15650,1
2025-11-05 15:00:00,15630,15630,15630,15630,1
2025-11-05 15:10:00,15635,15635,15635,15635,1
2025-11-05 21:20:00,15715,15715,15715,15715,1
2025-11-05 21:30:00,15720,15720,15720,15720,4
2025-11-06 09:40:00,15630,15630,15630,15630,1
2025-11-10 13:10:00,15740,15775,15740,15775,2
2025-11-10 14:10:00,15730,15730,15620,15620,2
2025-11-10 14:20:00,15625,15625,15625,15625,4
2025-11-10 15:50:00,15720,15720,15720,15720,1
2025-11-10 17:10:00,15680,15680,15680,15680,1
2025-11-10 17:20:00,15695,15695,15695,15695,1
2025-11-10 18:30:00,15695,15695,15695,15695,1
2025-11-11 14:30:00,15655,15655,15655,15655,1
2025-11-12 20:00:00,15625,15625,15620,15620,4
2025-11-14 09:40:00,15370,15370,15370,15370,1
2025-11-14 10:20:00,15350,15350,15350,15350,1
2025-11-14 15:50:00,15350,15350,15350,15350,1
2025-11-14 19:20:00,15345,15345,15345,15345,1
2025-11-15 16:20:00,15470,15475,15470,15475,3
2025-11-15 17:10:00,15470,15475,15470,15475,2
2025-11-17 12:00:00,15315,15415,15310,15330,8
2025-11-17 15:30:00,15315,15315,15315,15315,1
2025-11-17 22:20:00,15170,15170,15170,15170,1
2025-11-18 10:00:00,15105,15105,15105,15105,1
2025-11-18 16:00:00,15100,15100,15100,15100,2
2025-11-19 11:40:00,15155,15155,15150,15150,3
2025-11-19 15:30:00,15205,15205,15205,15205,1
2025-11-20 09:30:00,15100,15100,15100,15100,1
2025-11-20 09:50:00,15100,15100,15095,15095,2
2025-11-20 10:50:00,15095,15095,15095,15095,1
2025-11-20 19:10:00,15005,15005,15005,15005,1
2025-11-20 19:20:00,15000,15000,15000,15000,1
2025-11-21 09:20:00,15010,15010,15010,15010,1
2025-11-21 10:50:00,14900,14900,14900,14900,2
2025-11-21 11:50:00,14925,14925,14925,14925,1
2025-11-21 12:30:00,14850,14850,14685,14685,8
2025-11-21 21:50:00,15065,15065,15065,15065,1
2025-11-21 22:30:00,14885,15055,14885,15055,2
2025-11-21 22:50:00,15000,15000,15000,15000,1
2025-11-24 10:30:00,15095,15095,15095,15095,1
2025-11-24 11:40:00,14850,14850,14850,14850,1
2025-11-24 13:20:00,15065,15065,15065,15065,1
2025-11-24 16:40:00,15150,15150,15150,15150,1
2025-11-24 18:30:00,15095,15100,15095,15100,2
2025-11-25 16:10:00,15170,15170,15170,15170,1
2025-11-25 16:20:00,15195,15195,15195,15195,1
2025-11-25 18:40:00,15245,15245,15245,15245,1
2025-11-25 20:50:00,15250,15250,15250,15250,1
2025-11-25 21:20:00,15075,15075,15075,15075,1
2025-11-26 17:10:00,15345,15345,15345,15345,1
2025-11-26 19:20:00,15330,15330,15330,15330,1
2025-11-26 20:00:00,15070,15070,15070,15070,1
2025-11-26 23:20:00,15365,15365,15365,15365,1
2025-11-27 09:40:00,15290,15310,15290,15310,3
2025-11-27 13:10:00,15020,15020,14940,14940,6
2025-11-27 19:30:00,15155,15155,15155,15155,1
2025-11-28 19:30:00,15280,15475,15280,15475,17
2025-11-29 11:00:00,15070,15070,15070,15070,1
2025-11-29 16:20:00,15350,15350,15350,15350,1
2025-12-01 13:40:00,15135,15135,15135,15135,1
2025-12-02 10:00:00,15395,15395,15395,15395,1
2025-12-02 13:20:00,15170,15170,15135,15135,4
2025-12-02 13:40:00,15365,15370,15365,15370,2
2025-12-02 14:10:00,15180,15180,15180,15180,1
2025-12-03 12:00:00,15355,15355,15355,15355,1
2025-12-03 14:30:00,15190,15190,15190,15190,1
2025-12-03 14:40:00,15345,15345,15345,15345,1
2025-12-03 14:50:00,15345,15345,15345,15345,1
2025-12-03 17:30:00,15345,15345,15345,15345,1
2025-12-03 19:10:00,15190,15190,15185,15185,2
2025-12-03 23:00:00,15190,15190,15190,15190,1
2025-12-04 14:40:00,15375,15375,15375,15375,1
2025-12-05 13:00:00,15135,15135,15135,15135,1
2025-12-05 14:10:00,15365,15375,15365,15375,2
2025-12-05 17:30:00,15370,15370,15370,15370,1
2025-12-05 20:40:00,15370,15370,15370,15370,2
2025-12-05 21:00:00,15370,15370,15370,15370,2
2025-12-08 15:10:00,15395,15395,15395,15395,1
2025-12-08 22:50:00,15290,15290,15290,15290,1
2025-12-09 17:20:00,15240,15240,15240,15240,1
2025-12-09 18:20:00,15205,15205,15205,15205,1
2025-12-10 11:50:00,15055,15055,15055,15055,2
2025-12-10 16:10:00,15190,15190,15190,15190,4
2025-12-10 17:40:00,15130,15130,15130,15130,5
2025-12-10 19:30:00,15065,15120,15060,15120,12
2025-12-11 09:30:00,14910,14910,14795,14795,45
2025-12-11 09:40:00,14750,14750,14660,14680,197
2025-12-11 09:50:00,14675,14675,14675,14675,1
2025-12-11 10:00:00,14680,14680,14680,14680,2
2025-12-11 10:10:00,14690,14690,14690,14690,2
2025-12-11 10:30:00,14650,14650,14650,14650,3
2025-12-11 10:50:00,14675,14675,14675,14675,10
2025-12-11 11:00:00,14650,14650,14645,14645,12
2025-12-11 11:30:00,14620,14620,14620,14620,4
2025-12-11 11:40:00,14630,14630,14625,14625,2
2025-12-11 11:50:00,14635,14635,14605,14605,6
2025-12-11 12:10:00,14605,14605,14605,14605,8
2025-12-11 13:20:00,14610,14610,14610,14610,5
2025-12-11 14:20:00,14640,14640,14640,14640,5
2025-12-11 14:40:00,14615,14615,14615,14615,5
2025-12-11 15:00:00,14630,14630,14630,14630,1
2025-12-11 15:10:00,14635,14635,14635,14635,1
2025-12-11 15:40:00,14650,14650,14650,14650,1
2025-12-11 15:50:00,14650,14650,14650,14650,1
2025-12-11 19:10:00,14685,14685,14680,14680,3
2025-12-11 19:40:00,14700,14700,14700,14700,5
2025-12-11 19:50:00,14700,14700,14690,14690,19
2025-12-11 20:00:00,14685,14685,14675,14685,76
2025-12-11 20:10:00,14685,14685,14685,14685,22
2025-12-11 20:20:00,14690,14690,14690,14690,2
2025-12-11 20:50:00,14685,14685,14685,14685,1
2025-12-11 21:00:00,14685,14685,14685,14685,1
2025-12-11 21:20:00,14685,14685,14685,14685,1
2025-12-11 21:40:00,14680,14680,14650,14650,22
2025-12-11 22:00:00,14785,14785,14785,14785,1
2025-12-11 23:00:00,14760,14760,14760,14760,1
2025-12-11 23:30:00,14650,14650,14650,14650,2
2025-12-12 09:00:00,14685,14685,14685,14685,1
2025-12-12 10:00:00,14685,14685,14645,14645,3
2025-12-12 11:20:00,14645,14645,14620,14620,17
2025-12-12 11:30:00,14670,14675,14670,14675,5
2025-12-12 12:40:00,14620,14620,14620,14620,1
2025-12-12 13:20:00,14670,14670,14670,14670,1
2025-12-12 14:00:00,14675,14675,14675,14675,2
2025-12-12 14:20:00,14670,14670,14670,14670,1
2025-12-12 15:10:00,14620,14620,14620,14620,1
2025-12-12 16:00:00,14630,14630,14630,14630,1
2025-12-12 17:10:00,14745,14745,14745,14745,1
2025-12-12 17:40:00,14735,14735,14735,14735,66
2025-12-12 18:00:00,14700,14710,14700,14710,23
2025-12-12 18:10:00,14690,14690,14690,14690,7
2025-12-12 18:20:00,14615,14615,14615,14615,4
2025-12-12 19:00:00,14565,14565,14565,14565,1
2025-12-12 19:20:00,14600,14600,14600,14600,2
2025-12-12 20:10:00,14590,14590,14590,14590,5
2025-12-13 17:30:00,14755,14755,14755,14755,1
2025-12-15 09:10:00,14625,14625,14625,14625,1
2025-12-15 09:30:00,14645,14645,14645,14645,1
2025-12-15 09:50:00,14640,14640,14640,14640,3
2025-12-15 10:10:00,14625,14625,14625,14625,1
2025-12-15 10:20:00,14630,14630,14620,14620,8
2025-12-15 10:30:00,14620,14620,14620,14620,1
2025-12-15 10:40:00,14605,14605,14590,14590,3
2025-12-15 11:00:00,14580,14580,14570,14570,7
2025-12-15 11:50:00,14595,14600,14595,14600,149
2025-12-15 12:00:00,14595,14595,14595,14595,4
2025-12-15 12:10:00,14590,14590,14590,14590,1
2025-12-15 12:20:00,14585,14585,14585,14585,1
2025-12-15 12:30:00,14580,14580,14580,14580,1
2025-12-15 12:50:00,14580,14580,14580,14580,3
2025-12-15 13:10:00,14585,14585,14585,14585,2
2025-12-15 13:40:00,14595,14595,14595,14595,4
2025-12-15 13:50:00,14590,14595,14590,14595,11
2025-12-15 14:00:00,14590,14590,14570,14570,3
2025-12-15 15:00:00,14585,14585,14580,14580,2
2025-12-15 15:10:00,14580,14580,14570,14570,4
2025-12-15 15:30:00,14575,14575,14565,14565,5
2025-12-15 15:40:00,14575,14575,14575,14575,1
2025-12-15 16:00:00,14590,14590,14470,14470,90
2025-12-15 16:10:00,14435,14435,14435,14435,2
2025-12-15 16:40:00,14460,14460,14460,14460,1
2025-12-15 16:50:00,14445,14445,14445,14445,1
2025-12-15 17:00:00,14435,14435,14430,14430,122
2025-12-15 17:10:00,14430,14430,14430,14430,2
2025-12-15 17:20:00,14410,14420,14405,14420,6
2025-12-15 17:30:00,14405,14405,14335,14335,41
2025-12-15 18:00:00,14380,14380,14380,14380,1
2025-12-15 18:10:00,14325,14325,14305,14305,3
2025-12-15 19:20:00,14380,14380,14380,14380,1
2025-12-15 19:30:00,14385,14390,14385,14390,900
2025-12-15 20:20:00,14370,14370,14370,14370,3
2025-12-15 20:30:00,14360,14360,14360,14360,1
2025-12-15 21:00:00,14365,14365,14365,14365,4
2025-12-15 21:40:00,14375,14375,14375,14375,15
2025-12-15 22:40:00,14425,14425,14425,14425,6
2025-12-15 23:00:00,14450,14470,14450,14470,8
2025-12-16 09:00:00,14360,14360,14360,14360,8
2025-12-16 09:20:00,14360,14360,14360,14360,3
2025-12-16 09:40:00,14360,14360,14360,14360,1
2025-12-16 10:10:00,14375,14375,14375,14375,1
2025-12-16 10:20:00,14380,14380,14380,14380,7
2025-12-16 10:40:00,14380,14380,14380,14380,1
2025-12-16 10:50:00,14380,14380,14380,14380,1
2025-12-16 11:20:00,14380,14380,14380,14380,1
2025-12-16 11:30:00,14375,14375,14375,14375,2
2025-12-16 11:50:00,14415,14415,14415,14415,26
2025-12-16 12:10:00,14405,14405,14405,14405,1
2025-12-16 12:20:00,14380,14380,14365,14365,15
2025-12-16 12:30:00,14365,14365,14365,14365,6
2025-12-16 13:00:00,14365,14365,14365,14365,1
2025-12-16 13:30:00,14395,14395,14395,14395,30
2025-12-16 13:50:00,14400,14400,14400,14400,20
2025-12-16 14:00:00,14395,14395,14395,14395,1
2025-12-16 14:20:00,14395,14395,14395,14395,4
2025-12-16 14:30:00,14405,14405,14405,14405,4
2025-12-16 15:10:00,14395,14395,14395,14395,1
2025-12-16 16:00:00,14420,14420,14375,14375,8
2025-12-16 16:40:00,14365,14365,14355,14355,97
2025-12-16 17:00:00,14350,14350,14350,14350,2
2025-12-16 17:10:00,14355,14355,14355,14355,4
2025-12-16 18:00:00,14355,14355,14345,14345,2
2025-12-16 18:20:00,14365,14365,14345,14345,4
2025-12-16 18:40:00,14365,14365,14365,14365,1
2025-12-16 19:10:00,14340,14340,14340,14340,2
2025-12-16 20:40:00,14350,14350,14350,14350,6
2025-12-16 21:10:00,14350,14350,14350,14350,10
2025-12-16 23:00:00,14365,14365,14365,14365,2
2025-12-17 09:00:00,14545,14545,14500,14500,16
2025-12-17 09:30:00,14475,14475,14475,14475,1
2025-12-17 09:40:00,14535,14535,14535,14535,1
2025-12-17 09:50:00,14540,14540,14540,14540,1
2025-12-17 10:00:00,14545,14545,14505,14505,3
2025-12-17 10:10:00,14500,14500,14500,14500,1
2025-12-17 10:30:00,14500,14500,14500,14500,2
2025-12-17 11:10:00,14440,14440,14440,14440,2
2025-12-17 12:30:00,14410,14410,14410,14410,2
2025-12-17 13:40:00,14425,14425,14425,14425,30
2025-12-17 15:10:00,14450,14450,14450,14450,1
2025-12-17 15:20:00,14490,14490,14485,14485,6
2025-12-17 15:40:00,14495,14495,14495,14495,1
2025-12-17 15:50:00,14485,14485,14485,14485,41
2025-12-17 16:10:00,14530,14530,14530,14530,1
2025-12-17 16:30:00,14525,14525,14525,14525,1
2025-12-17 17:20:00,14490,14500,14490,14500,3
2025-12-17 18:10:00,14500,14500,14500,14500,1
2025-12-17 18:30:00,14480,14480,14480,14480,40
2025-12-17 19:10:00,14470,14470,14470,14470,2
2025-12-17 19:30:00,14465,14490,14465,14490,6
2025-12-17 19:40:00,14480,14480,14480,14480,2
2025-12-17 20:40:00,14455,14455,14455,14455,2
2025-12-17 20:50:00,14455,14455,14455,14455,2
2025-12-18 09:20:00,14515,14515,14515,14515,1
2025-12-18 09:50:00,14515,14515,14515,14515,2
2025-12-18 10:10:00,14580,14580,14580,14580,1
2025-12-18 11:10:00,14610,14610,14600,14600,7
2025-12-18 11:20:00,14560,14560,14545,14545,5
2025-12-18 12:20:00,14580,14580,14580,14580,1
2025-12-18 13:20:00,14620,14620,14620,14620,1
2025-12-18 13:40:00,14585,14585,14585,14585,1
2025-12-18 16:00:00,14605,14605,14605,14605,16
2025-12-18 16:50:00,14625,14650,14625,14645,96
2025-12-18 17:50:00,14550,14550,14550,14550,2
2025-12-18 18:00:00,14655,14655,14655,14655,1
2025-12-18 19:20:00,14730,14735,14670,14670,52
2025-12-18 19:40:00,14675,14730,14675,14730,3
2025-12-18 19:50:00,14680,14680,14680,14680,12
2025-12-18 21:30:00,14745,14745,14745,14745,6
2025-12-18 21:50:00,14725,14730,14725,14730,2
2025-12-18 22:20:00,14625,14625,14355,14355,15
2025-12-18 22:50:00,14515,14610,14500,14610,27
2025-12-19 09:00:00,14860,14910,14860,14875,50
2025-12-19 09:10:00,14880,14885,14880,14885,5
2025-12-19 09:20:00,14900,14900,14890,14890,2
2025-12-19 09:30:00,14890,14890,14890,14890,1
2025-12-19 09:40:00,14880,14880,14880,14880,1
2025-12-19 09:50:00,14870,14870,14870,14870,2
2025-12-19 10:00:00,14880,14880,14870,14870,5
2025-12-19 10:10:00,14870,14870,14870,14870,2
2025-12-19 11:00:00,14850,14850,14850,14850,1
2025-12-19 11:20:00,14840,14890,14840,14890,7
2025-12-19 12:20:00,14875,14875,14875,14875,10
2025-12-19 13:00:00,14845,14845,14845,14845,5
2025-12-19 14:10:00,14815,14840,14815,14840,6
2025-12-19 14:30:00,14785,14785,14785,14785,1
2025-12-19 15:30:00,14795,14795,14795,14795,2
2025-12-19 16:10:00,14835,14835,14835,14835,20
2025-12-19 16:30:00,14895,14895,14895,14895,1
2025-12-19 16:50:00,14885,14885,14885,14885,1
2025-12-19 18:10:00,14900,14900,14900,14900,1
2025-12-19 19:20:00,14810,14870,14810,14870,5
2025-12-19 19:40:00,14890,14890,14890,14890,1
2025-12-19 19:50:00,14890,14890,14870,14870,17
2025-12-19 20:00:00,14890,14890,14890,14890,10
2025-12-19 20:10:00,14885,14885,14870,14870,22
2025-12-19 20:20:00,14865,14870,14865,14870,90
2025-12-19 20:30:00,14875,14875,14875,14875,6
2025-12-19 21:00:00,14895,14895,14895,14895,1
2025-12-19 21:10:00,14895,14895,14895,14895,4
2025-12-19 21:30:00,14900,14900,14900,14900,2
2025-12-19 21:50:00,14985,14985,14960,14960,3
