time,open,high,low,close,volume
2023-01-03 09:00:00,4.858,4.858,4.52,4.578,5216
2023-01-03 09:01:00,4.578,4.578,4.553,4.576,1366
2023-01-03 09:02:00,4.575,4.575,4.556,4.569,1445
2023-01-03 09:03:00,4.568,4.57,4.564,4.569,585
2023-01-03 09:04:00,4.57,4.595,4.569,4.593,871
2023-01-03 09:05:00,4.593,4.609,4.58,4.594,1314
2023-01-03 09:06:00,4.593,4.598,4.585,4.585,424
2023-01-03 09:07:00,4.586,4.586,4.579,4.582,292
2023-01-03 09:08:00,4.582,4.589,4.58,4.587,174
2023-01-03 09:09:00,4.588,4.592,4.587,4.592,197
2023-01-03 09:10:00,4.592,4.599,4.591,4.599,196
2023-01-03 09:11:00,4.597,4.609,4.597,4.606,445
2023-01-03 09:12:00,4.606,4.618,4.605,4.613,612
2023-01-03 09:13:00,4.613,4.613,4.59,4.594,847
2023-01-03 09:14:00,4.594,4.61,4.594,4.609,257
2023-01-03 09:15:00,4.608,4.609,4.598,4.601,297
2023-01-03 09:16:00,4.601,4.604,4.593,4.595,234
2023-01-03 09:17:00,4.595,4.595,4.587,4.59,236
2023-01-03 09:18:00,4.59,4.59,4.588,4.589,153
2023-01-03 09:19:00,4.589,4.593,4.586,4.593,299
2023-01-03 09:20:00,4.593,4.599,4.592,4.596,158
2023-01-03 09:21:00,4.597,4.599,4.587,4.594,178
2023-01-03 09:22:00,4.592,4.593,4.591,4.593,73
2023-01-03 09:23:00,4.593,4.597,4.592,4.597,81
2023-01-03 09:24:00,4.597,4.598,4.594,4.597,104
2023-01-03 09:25:00,4.597,4.597,4.594,4.596,190
2023-01-03 09:26:00,4.595,4.596,4.593,4.593,40
2023-01-03 09:27:00,4.593,4.596,4.584,4.593,359
2023-01-03 09:28:00,4.592,4.595,4.572,4.574,558
2023-01-03 09:29:00,4.574,4.587,4.574,4.586,139
2023-01-03 09:30:00,4.587,4.59,4.587,4.587,111
2023-01-03 09:31:00,4.588,4.592,4.587,4.592,148
2023-01-03 09:32:00,4.591,4.592,4.588,4.591,42
2023-01-03 09:33:00,4.591,4.595,4.581,4.585,426
2023-01-03 09:34:00,4.586,4.587,4.577,4.58,205
2023-01-03 09:35:00,4.579,4.588,4.579,4.582,79
2023-01-03 09:36:00,4.582,4.586,4.581,4.586,55
2023-01-03 09:37:00,4.586,4.589,4.586,4.587,47
2023-01-03 09:38:00,4.587,4.59,4.582,4.582,69
2023-01-03 09:39:00,4.583,4.584,4.577,4.58,132
2023-01-03 09:40:00,4.58,4.583,4.571,4.571,271
2023-01-03 09:41:00,4.572,4.576,4.544,4.545,1224
2023-01-03 09:42:00,4.546,4.549,4.52,4.528,1873
2023-01-03 09:43:00,4.528,4.556,4.528,4.547,1647
2023-01-03 09:44:00,4.548,4.549,4.539,4.543,254
2023-01-03 09:45:00,4.542,4.542,4.538,4.538,194
2023-01-03 09:46:00,4.539,4.557,4.538,4.548,814
2023-01-03 09:47:00,4.549,4.554,4.545,4.552,291
2023-01-03 09:48:00,4.553,4.553,4.543,4.549,333
2023-01-03 09:49:00,4.547,4.55,4.546,4.549,216
2023-01-03 09:50:00,4.55,4.55,4.545,4.547,140
2023-01-03 09:51:00,4.546,4.547,4.54,4.542,205
2023-01-03 09:52:00,4.54,4.544,4.54,4.542,315
2023-01-03 09:53:00,4.542,4.549,4.542,4.544,260
2023-01-03 09:54:00,4.544,4.545,4.543,4.543,77
2023-01-03 09:55:00,4.545,4.545,4.513,4.523,944
2023-01-03 09:56:00,4.524,4.535,4.522,4.535,383
2023-01-03 09:57:00,4.534,4.536,4.527,4.531,202
2023-01-03 09:58:00,4.531,4.532,4.527,4.53,212
2023-01-03 09:59:00,4.529,4.534,4.521,4.522,454
2023-01-03 10:00:00,4.521,4.525,4.517,4.524,411
2023-01-03 10:01:00,4.522,4.526,4.521,4.523,233
2023-01-03 10:02:00,4.522,4.525,4.512,4.513,534
2023-01-03 10:03:00,4.515,4.515,4.513,4.513,10
2023-01-03 10:04:00,4.514,4.527,4.513,4.526,541
2023-01-03 10:05:00,4.526,4.526,4.521,4.522,286
2023-01-03 10:06:00,4.525,4.526,4.519,4.519,172
2023-01-03 10:07:00,4.519,4.52,4.51,4.512,435
2023-01-03 10:08:00,4.512,4.512,4.51,4.512,383
2023-01-03 10:09:00,4.512,4.515,4.508,4.515,650
2023-01-03 10:10:00,4.514,4.515,4.511,4.515,126
2023-01-03 10:11:00,4.515,4.515,4.513,4.514,106
2023-01-03 10:12:00,4.515,4.517,4.513,4.515,164
2023-01-03 10:13:00,4.517,4.517,4.512,4.513,142
2023-01-03 10:14:00,4.513,4.514,4.51,4.51,150
2023-01-03 10:15:00,4.51,4.511,4.504,4.506,520
2023-01-03 10:16:00,4.504,4.514,4.504,4.514,342
2023-01-03 10:17:00,4.512,4.512,4.505,4.505,249
2023-01-03 10:18:00,4.505,4.505,4.486,4.498,1854
2023-01-03 10:19:00,4.499,4.502,4.497,4.502,616
2023-01-03 10:20:00,4.502,4.508,4.499,4.506,438
2023-01-03 10:21:00,4.505,4.517,4.504,4.514,366
2023-01-03 10:22:00,4.512,4.517,4.51,4.512,222
2023-01-03 10:23:00,4.511,4.513,4.501,4.502,318
2023-01-03 10:24:00,4.503,4.503,4.5,4.5,233
2023-01-03 10:25:00,4.5,4.506,4.499,4.506,355
2023-01-03 10:26:00,4.505,4.51,4.499,4.508,215
2023-01-03 10:27:00,4.51,4.514,4.508,4.512,217
2023-01-03 10:28:00,4.511,4.511,4.506,4.508,96
2023-01-03 10:29:00,4.508,4.51,4.508,4.509,75
2023-01-03 10:30:00,4.509,4.517,4.508,4.517,244
2023-01-03 10:31:00,4.516,4.519,4.514,4.515,245
2023-01-03 10:32:00,4.516,4.517,4.508,4.513,252
2023-01-03 10:33:00,4.514,4.522,4.509,4.522,794
2023-01-03 10:34:00,4.52,4.527,4.513,4.52,567
2023-01-03 10:35:00,4.523,4.525,4.52,4.521,108
2023-01-03 10:36:00,4.52,4.522,4.515,4.518,207
2023-01-03 10:37:00,4.518,4.519,4.514,4.517,161
2023-01-03 10:38:00,4.517,4.523,4.517,4.518,156
2023-01-03 10:39:00,4.518,4.52,4.514,4.514,254
2023-01-03 10:40:00,4.514,4.518,4.51,4.516,413
2023-01-03 10:41:00,4.518,4.533,4.515,4.529,685
2023-01-03 10:42:00,4.529,4.535,4.526,4.533,324
2023-01-03 10:43:00,4.531,4.535,4.529,4.532,225
2023-01-03 10:44:00,4.532,4.534,4.528,4.529,314
2023-01-03 10:45:00,4.531,4.531,4.527,4.529,110
2023-01-03 10:46:00,4.528,4.529,4.521,4.524,109
2023-01-03 10:47:00,4.524,4.526,4.52,4.522,168
2023-01-03 10:48:00,4.523,4.526,4.516,4.518,212
2023-01-03 10:49:00,4.517,4.52,4.514,4.516,125
2023-01-03 10:50:00,4.516,4.518,4.507,4.509,273
2023-01-03 10:51:00,4.507,4.515,4.506,4.512,223
2023-01-03 10:52:00,4.513,4.514,4.503,4.503,278
2023-01-03 10:53:00,4.504,4.506,4.501,4.503,322
2023-01-03 10:54:00,4.503,4.515,4.503,4.51,274
2023-01-03 10:55:00,4.51,4.517,4.508,4.517,75
2023-01-03 10:56:00,4.517,4.517,4.508,4.512,95
2023-01-03 10:57:00,4.511,4.515,4.511,4.515,69
2023-01-03 10:58:00,4.515,4.518,4.514,4.518,110
2023-01-03 10:59:00,4.517,4.519,4.512,4.512,179
2023-01-03 11:00:00,4.513,4.527,4.507,4.525,535
2023-01-03 11:01:00,4.524,4.526,4.514,4.514,185
2023-01-03 11:02:00,4.515,4.518,4.505,4.505,318
2023-01-03 11:03:00,4.506,4.515,4.505,4.512,445
2023-01-03 11:04:00,4.512,4.515,4.509,4.514,117
2023-01-03 11:05:00,4.514,4.514,4.512,4.513,15
2023-01-03 11:06:00,4.515,4.523,4.513,4.521,255
2023-01-03 11:07:00,4.521,4.526,4.52,4.524,218
2023-01-03 11:08:00,4.525,4.526,4.521,4.521,125
2023-01-03 11:09:00,4.523,4.528,4.522,4.528,143
2023-01-03 11:10:00,4.527,4.532,4.52,4.532,300
2023-01-03 11:11:00,4.532,4.533,4.53,4.531,148
2023-01-03 11:12:00,4.532,4.532,4.527,4.531,154
2023-01-03 11:13:00,4.529,4.531,4.525,4.527,111
2023-01-03 11:14:00,4.526,4.528,4.525,4.528,78
2023-01-03 11:15:00,4.528,4.529,4.525,4.526,97
2023-01-03 11:16:00,4.526,4.526,4.523,4.524,38
2023-01-03 11:17:00,4.524,4.529,4.524,4.526,73
2023-01-03 11:18:00,4.525,4.53,4.525,4.528,97
2023-01-03 11:19:00,4.528,4.528,4.524,4.524,29
2023-01-03 11:20:00,4.523,4.526,4.522,4.525,31
2023-01-03 11:21:00,4.525,4.526,4.524,4.525,17
2023-01-03 11:22:00,4.525,4.525,4.517,4.517,162
