time,open,high,low,close,volume
1263157200000,86.56,88.17,85.51,86.69,149200144
1263243600000,86.55,86.77,84.9,85,130321911
1263330000000,84.3,87.23,84.1,86.61,128818253
1263416400000,87.5,87.87,86.75,87.55,111469807
1263502800000,87.5,88.67,87.16,88.15,142265882
1263762000000,87.85,90.65,87.79,90.49,179564888
1263848400000,90.5,92.2,88.8,92.02,269046039
1263934800000,92.02,92.49,90.42,90.62,220504796
1264021200000,91.25,91.65,88.92,89.18,219515040
1264107600000,88.47,89.06,85.75,86.5,221523568
1264366800000,85.68,88.8,85.33,88.07,175218687
1264453200000,87,87.05,84.95,85.84,196525690
1264539600000,85.61,88,85.07,86.64,207671907
1264626000000,88,88.75,86.5,87.15,173424564
1264712400000,86.44,88.8,86.01,88.41,188062134
1264971600000,87.6,88.1,86.85,87.69,146486262
1265058000000,88.4,88.44,87.34,88.05,129362901
1265144400000,88.7,89.8,87.99,88.08,188637261
1265230800000,88.1,88.47,84.33,84.77,192844303
1265317200000,83.2,84.19,80.89,83.09,275776811
1265576400000,83,84.05,79.01,79.01,250340447
1265662800000,80,80.89,78.1,80.35,318201013
1265749200000,81,83.44,79.42,81.49,280432428
1265835600000,83,83.82,81.58,82.67,277499389
1265922000000,83.4,83.62,79.28,80,207194388
1266181200000,80.02,81.3,79.47,80.38,114992349
1266267600000,81.02,83.3,80.84,83.25,169174695
1266354000000,83.86,83.94,82.13,82.47,168523860
1266440400000,82,82.15,78.35,79.89,255258078
1266526800000,78.02,79.79,76.58,79.17,286719443
1266958800000,78.55,79.32,75.4,75.99,230695318
1267045200000,75.61,76.07,73.23,74.88,262746851
1267131600000,75.65,76.1,74.54,75.15,201490162
1267218000000,75.2,76.54,74.85,76.3,59845665
1267390800000,77,80.62,76.71,80.26,300972082
1267477200000,80.06,83.09,79.91,82.44,290057418
1267563600000,82.44,83.64,80.91,82.92,251615541
1267650000000,82.25,83.6,81.4,82.95,236686746
