time,open,high,low,close,volume
2023-03-03 17:00:00,30776,30776,25024,25024,6
2023-03-10 11:40:00,26580,26580,26580,26580,2
2023-03-15 12:40:00,28800,28800,28800,28800,2
2023-03-17 13:10:00,28402,28402,28402,28402,2
2023-03-17 18:10:00,29099,29099,29099,29099,1
2023-03-17 18:20:00,29099,29099,29099,29099,1
2023-03-23 10:50:00,28284,28284,28284,28284,1
2023-03-24 11:10:00,28500,28500,28500,28500,1
2023-03-27 10:20:00,29000,29000,29000,29000,1
2023-03-27 12:20:00,29732,29732,29732,29732,1
2023-03-27 12:30:00,30276,30276,30276,30276,2
2023-03-27 12:40:00,30615,30615,30615,30615,1
2023-03-28 14:20:00,30301,30301,30301,30301,1
2023-03-30 11:30:00,30000,30000,30000,30000,1
2023-04-04 19:30:00,32007,32007,32007,32007,1
2023-04-05 15:40:00,31885,31885,31885,31885,1
2023-04-05 17:40:00,32149,32149,32149,32149,1
2023-04-06 10:00:00,32700,32700,32700,32700,1
2023-04-06 10:10:00,32900,32900,32900,32900,1
2023-04-11 14:50:00,32900,33478,32900,33478,2
2023-04-12 12:10:00,32283,32283,32283,32283,1
2023-04-13 11:20:00,32283,32283,32283,32283,1
2023-04-20 16:00:00,32619,32619,32469,32469,2
2023-04-20 16:10:00,31998,31998,31998,31998,1
2023-04-24 11:40:00,33423,33423,33421,33421,9
2023-04-24 11:50:00,33421,33421,33421,33421,1
2023-04-24 12:00:00,33515,33515,33514,33514,4
2023-04-24 21:50:00,33599,33600,33599,33600,2
2023-04-25 09:10:00,33600,33600,33600,33600,3
2023-04-25 12:10:00,33600,33600,33600,33600,1
2023-04-25 12:20:00,33600,35280,33600,34980,51
2023-04-25 12:30:00,35280,35280,35280,35280,20
2023-04-25 12:40:00,34646,34646,34646,34646,2
2023-04-25 12:50:00,34640,34640,34537,34537,4
2023-04-25 13:40:00,34152,34171,34102,34102,4
2023-04-25 13:50:00,34185,34185,34185,34185,2
2023-04-25 14:30:00,34300,34300,34298,34298,6
2023-04-25 15:00:00,34435,34496,34435,34435,3
2023-04-25 18:40:00,33564,33564,33564,33564,1
2023-04-25 19:10:00,34423,34423,34423,34423,1
2023-04-26 18:00:00,33492,33492,33492,33492,2
2023-04-28 16:50:00,33297,33482,33297,33482,2
2023-05-02 18:10:00,32472,32472,32472,32472,1
2023-05-03 10:10:00,32033,32033,32033,32033,1
2023-05-03 12:50:00,32369,32371,32369,32371,2
2023-05-03 14:40:00,32500,32500,32500,32500,1
2023-05-03 18:40:00,32336,32336,32336,32336,1
2023-05-03 20:40:00,31595,31595,31594,31594,2
2023-05-03 22:50:00,32032,32032,32032,32032,1
2023-05-04 18:00:00,32001,32001,31900,31900,2
2023-05-04 18:20:00,31708,31708,31700,31700,2
2023-05-05 10:20:00,32078,32078,32078,32078,1
2023-05-05 16:30:00,31700,31700,31336,31336,7
2023-05-05 16:50:00,31331,31331,31189,31189,10
2023-05-05 17:00:00,31175,31175,31065,31065,3
2023-05-05 18:30:00,31156,31156,31156,31156,2
2023-05-05 19:00:00,31336,31336,31336,31336,3
2023-05-08 10:30:00,31554,31605,31554,31605,14
2023-05-08 13:00:00,30866,30866,30814,30814,6
2023-05-08 13:30:00,30817,30817,30817,30817,1
2023-05-08 13:40:00,30817,30817,30817,30817,1
2023-05-08 14:20:00,30744,30744,30696,30707,5
2023-05-08 14:30:00,30629,30634,30629,30630,8
2023-05-08 15:00:00,30817,30817,30817,30817,4
2023-05-08 15:50:00,30789,30789,30789,30789,7
2023-05-08 19:40:00,30900,30900,30654,30654,2
2023-05-10 10:00:00,30998,30999,30998,30999,4
2023-05-10 10:10:00,30999,30999,30999,30999,7
2023-05-10 18:10:00,31536,31536,31536,31536,2
2023-05-10 19:40:00,31536,31536,31536,31536,2
