time,open,high,low,close,volume
2025-08-19 10:50:00,19261,19261,19247,19247,2
2025-08-19 11:50:00,19070,19070,19070,19070,1
2025-08-19 12:50:00,19070,19070,19070,19070,29
2025-08-19 14:40:00,19100,19100,19100,19100,1
2025-08-19 15:20:00,19040,19040,19040,19040,1
2025-08-19 18:10:00,18760,18760,18693,18693,22
2025-08-19 19:20:00,18845,18845,18845,18845,1
2025-08-19 19:40:00,18750,18750,18750,18750,1
2025-08-20 12:50:00,18706,18706,18706,18706,1
2025-08-20 13:50:00,18684,18810,18684,18810,2
2025-08-20 14:30:00,18745,18745,18745,18745,21
2025-08-20 15:10:00,18697,18697,18697,18697,1
2025-08-20 16:10:00,18650,18670,18650,18670,31
2025-08-20 16:30:00,18653,18654,18653,18654,2
2025-08-20 16:40:00,18640,18640,18640,18640,3
2025-08-20 16:50:00,18630,18630,18630,18630,3
2025-08-20 17:30:00,18656,18656,18656,18656,3
2025-08-20 18:00:00,18645,18645,18645,18645,3
2025-08-20 21:30:00,18495,18495,18495,18495,2
2025-08-21 10:10:00,18236,18275,18236,18275,25
2025-08-21 10:20:00,18299,18299,18299,18299,3
2025-08-21 10:40:00,18296,18296,18296,18296,1
2025-08-21 10:50:00,18299,18299,18294,18299,6
2025-08-21 11:50:00,18244,18244,18244,18244,1
2025-08-21 12:00:00,18147,18147,18147,18147,3
2025-08-21 13:10:00,18255,18255,18255,18255,5
2025-08-21 13:30:00,18216,18216,18216,18216,1
2025-08-21 14:00:00,18164,18164,18164,18164,2
2025-08-21 14:10:00,18354,18435,18354,18435,2
2025-08-21 15:00:00,18425,18425,18425,18425,3
2025-08-21 16:00:00,18305,18305,18305,18305,1
2025-08-21 16:10:00,18249,18249,18249,18249,1
2025-08-21 16:40:00,18228,18228,18201,18201,4
2025-08-21 17:40:00,18190,18240,18190,18240,2
2025-08-21 17:50:00,18190,18190,18190,18190,1
2025-08-21 19:10:00,18000,18000,17984,17984,3
2025-08-21 19:20:00,18037,18037,18037,18037,1
2025-08-21 20:20:00,18000,18000,18000,18000,1
2025-08-21 20:30:00,17984,17984,17984,17984,1
2025-08-21 21:00:00,17900,17900,17900,17900,1
2025-08-21 21:10:00,17925,17925,17925,17925,1
2025-08-21 21:20:00,17911,17911,17911,17911,1
2025-08-21 21:30:00,17772,17772,17726,17726,2
2025-08-21 23:00:00,17626,17626,17626,17626,2
2025-08-21 23:20:00,17625,17625,17625,17625,1
2025-08-21 23:30:00,17723,17723,17723,17723,1
2025-08-22 09:20:00,17681,17681,17681,17681,5
2025-08-22 09:40:00,17568,17568,17568,17568,3
2025-08-22 11:50:00,17544,17544,17544,17544,1
2025-08-22 12:20:00,17637,17638,17637,17638,6
2025-08-22 12:30:00,17580,17580,17426,17426,11
2025-08-22 13:00:00,17553,17553,17553,17553,1
2025-08-22 13:10:00,17581,17581,17581,17581,3
2025-08-22 13:50:00,17600,17600,17600,17600,3
2025-08-22 14:20:00,17642,17642,17642,17642,2
2025-08-22 17:00:00,17775,17814,17775,17814,57
2025-08-22 19:10:00,17834,17834,17834,17834,2
2025-08-22 20:10:00,17986,17986,17986,17986,3
2025-08-22 21:30:00,17892,17892,17892,17892,1
2025-08-22 21:40:00,17893,17893,17893,17893,1
2025-08-23 10:30:00,17954,17954,17954,17954,5
2025-08-24 14:50:00,17525,17525,17525,17525,1
2025-08-24 16:10:00,17664,17675,17664,17675,13
2025-08-24 16:20:00,17574,17574,17574,17574,13
2025-08-25 11:20:00,17500,17500,17492,17492,6
2025-08-25 11:40:00,17438,17438,17438,17438,1
2025-08-25 14:10:00,17555,17555,17555,17555,1
2025-08-25 16:40:00,17645,17734,17645,17718,23
2025-08-25 17:00:00,17804,17804,17804,17804,10
2025-08-25 22:20:00,17848,17858,17848,17858,59
2025-08-25 23:40:00,17800,17800,17800,17800,1
2025-08-26 13:30:00,18000,18000,18000,18000,5
2025-08-26 16:00:00,17942,17942,17942,17942,1
2025-08-26 21:20:00,17754,17754,17754,17754,1
2025-08-27 15:50:00,18004,18004,17910,17910,11
2025-08-27 16:00:00,17916,17916,17916,17916,10
2025-08-27 19:50:00,17865,17865,17865,17865,5
2025-08-28 10:10:00,17986,17986,17921,17976,17
2025-08-28 10:20:00,17976,17976,17976,17976,10
2025-08-28 11:30:00,17996,17996,17996,17996,15
2025-08-28 12:00:00,17996,17996,17996,17996,4
2025-08-28 12:40:00,17996,17996,17996,17996,14
2025-08-28 12:50:00,18014,18014,18014,18014,5
2025-08-28 13:10:00,18095,18185,18095,18185,18
2025-08-28 13:20:00,18183,18183,18183,18183,5
2025-08-28 13:30:00,18314,18314,18278,18278,24
2025-08-28 14:10:00,18223,18223,18203,18204,14
2025-08-28 14:20:00,18137,18137,18041,18041,15
2025-08-28 15:00:00,18106,18106,18106,18106,5
2025-08-28 17:20:00,18274,18274,18274,18274,1
2025-08-28 18:00:00,18218,18218,18218,18218,12
2025-08-28 20:00:00,18197,18197,18197,18197,1
2025-08-28 20:10:00,18106,18106,18024,18024,2
2025-08-28 20:30:00,18043,18043,18043,18043,16
2025-08-28 20:40:00,17854,17854,17854,17854,1
2025-08-28 20:50:00,17854,17854,17854,17854,1
2025-08-28 21:00:00,17855,17855,17787,17787,40
2025-08-29 15:20:00,17970,17970,17970,17970,1
2025-08-29 16:10:00,17886,17886,17886,17886,1
2025-08-29 19:00:00,17222,17816,17033,17816,38
2025-08-29 19:10:00,17860,17860,17860,17860,1
2025-08-29 19:40:00,17861,17862,17861,17862,9
2025-08-29 21:00:00,17852,17852,17852,17852,1
2025-08-29 21:40:00,17863,17863,17863,17863,10
2025-08-29 21:50:00,17873,17873,17873,17873,20
2025-08-31 13:30:00,17957,17957,17957,17957,1
2025-09-01 16:50:00,17989,17989,17988,17988,50
2025-09-01 17:10:00,17988,17988,17988,17988,6
2025-09-01 21:40:00,17777,17777,17777,17777,3
2025-09-01 22:00:00,17809,17809,17809,17809,1
2025-09-02 09:10:00,17809,17809,17809,17809,1
2025-09-02 09:50:00,17728,17728,17728,17728,1
2025-09-02 10:00:00,17657,17657,17557,17557,7
2025-09-02 13:40:00,17739,17739,17739,17739,2
2025-09-02 13:50:00,17657,17657,17657,17657,1
2025-09-02 15:50:00,17615,17615,17615,17615,20
2025-09-02 16:00:00,17563,17563,17553,17553,25
2025-09-02 16:50:00,17583,17583,17583,17583,10
2025-09-02 18:00:00,17520,17520,17520,17520,1
2025-09-02 18:10:00,17467,17467,17467,17467,10
2025-09-02 21:20:00,17430,17430,17430,17430,2
2025-09-02 22:30:00,17649,17649,17649,17649,1
2025-09-03 10:40:00,17445,17445,17445,17445,5
2025-09-03 12:10:00,17469,17483,17469,17483,2
2025-09-03 13:40:00,17505,17505,17505,17505,4
2025-09-03 14:30:00,17437,17437,17437,17437,2
2025-09-03 15:10:00,17437,17437,17437,17437,1
2025-09-03 16:50:00,17546,17546,17539,17539,6
2025-09-03 21:00:00,17619,17619,17619,17619,1
2025-09-03 21:30:00,17565,17565,17565,17565,1
2025-09-03 23:40:00,17627,17627,17627,17627,14
2025-09-04 09:30:00,17745,17745,17745,17745,2
2025-09-04 10:00:00,17869,18031,17850,18007,151
2025-09-04 10:10:00,18007,18007,18007,18007,10
2025-09-04 10:30:00,17935,17935,17935,17935,5
2025-09-04 10:40:00,18007,18007,18007,18007,10
2025-09-04 11:00:00,17935,17935,17935,17935,2
2025-09-04 12:00:00,17867,17867,17867,17867,2
2025-09-04 12:50:00,17829,17829,17829,17829,1
2025-09-04 15:00:00,17655,17655,17645,17645,12
2025-09-04 15:10:00,17675,17675,17675,17675,1
2025-09-04 15:20:00,17628,17637,17628,17637,2
2025-09-04 20:50:00,17675,17675,17675,17675,1
2025-09-04 22:00:00,17729,17729,17729,17729,1
2025-09-05 11:40:00,17735,17735,17735,17735,1
2025-09-05 12:40:00,17685,17685,17685,17685,2
2025-09-05 13:00:00,17675,17675,17675,17675,51
2025-09-05 17:50:00,17655,17655,17615,17615,90
2025-09-05 18:00:00,17615,17625,17605,17605,60
2025-09-06 10:00:00,17625,17625,17625,17625,57
2025-09-08 10:00:00,17714,17714,17714,17714,1
2025-09-08 11:10:00,17650,17650,17650,17650,5
2025-09-08 13:30:00,17631,17631,17631,17631,3
2025-09-08 15:10:00,17624,17630,17624,17630,51
2025-09-08 19:10:00,17654,17654,17654,17654,1
2025-09-08 19:50:00,17652,17652,17652,17652,10
2025-09-08 20:00:00,17600,17600,17600,17600,1
2025-09-08 21:20:00,17654,17654,17654,17654,8
2025-09-08 22:10:00,17600,17600,17600,17600,1
2025-09-08 23:00:00,17595,17595,17595,17595,2
2025-09-09 17:30:00,17644,17644,17644,17644,1
2025-09-09 20:00:00,17614,17614,17614,17614,2
