time,open,high,low,close,volume
1401829200000,1546.7,1546.8,1163,1170,35146
1401915600000,1187.3,1195,1141.1,1145.1,24974
1402002000000,1158.3,1173.5,1151,1163,7889
1402261200000,1178.9,1185.6,1155.7,1172.1,7304
1402347600000,1178.9,1181,1160.1,1170,3216
1402434000000,1175,1183,1157.1,1179.9,8837
1402866000000,1164,1181.2,1150,1165,13904
1402952400000,1157.5,1187.7,1157.5,1185.5,8519
1403038800000,1180.1,1185,1176,1182.9,1455
1403125200000,1176,1182.7,1165,1168,1396
1403211600000,1165.2,1179,1160,1175,2702
1403470800000,1193.1,1218.8,1185,1196,14181
1403557200000,1200,1208.9,1191,1191.8,3895
1403643600000,1185.1,1195,1153.1,1176.8,3985
1403730000000,1185,1188.5,1168.9,1185,2403
1403816400000,1172.1,1197,1165,1185,1148
1404075600000,1185,1218.1,1184.1,1218,8754
1404162000000,1212.5,1239.8,1212.5,1218.2,3036
1404248400000,1218,1220,1195,1200,33473
1404334800000,1189.6,1213.8,1184,1192,25620
1404421200000,1184.9,1204.9,1183,1186,2133
1404680400000,1200,1211.8,1152,1160,19359
1404766800000,1165,1180,1100,1113.4,26565
1404853200000,1100,1111,1073.8,1094,19466
1404939600000,1102.5,1125.7,1061.5,1077.8,11235
1405026000000,1072.2,1101.5,1056,1099.3,35563
1405285200000,1109.6,1123.5,1090.2,1118.9,6202
1405371600000,1123.3,1127.5,1110,1114.3,2789
1405458000000,1114.2,1115.5,1098.1,1106.5,7340
1405544400000,1098,1107.5,1067.6,1088,7221
1405630800000,1084.2,1084.2,1054.1,1072.3,7146
1405890000000,1080,1081.4,1035,1047.5,8353
1405976400000,1050.4,1060,1043.9,1060,10468
1406062800000,1061.4,1062,1047.4,1056.2,5286
1406149200000,1056.2,1093.4,1048.3,1077.8,5186
1406235600000,1077.8,1109.4,1070.1,1075.1,5127
1406494800000,1060.2,1075,1050.1,1055,3992
1406581200000,1055.1,1147.6,1055.1,1116,11794
1406667600000,1112.3,1129.8,1106,1120,3075
1406754000000,1129.9,1129.9,1081.1,1087.7,4886
1406840400000,1096.9,1096.9,1060,1062.2,6621
1407099600000,1073.2,1101.9,1072.7,1089.5,7073
1407186000000,1101.3,1110.9,1076.1,1094.6,528
1407272400000,1076.1,1076.1,1043,1060.1,3329
1407358800000,1041.1,1055,1041.1,1054.5,3528
1407445200000,1077.2,1077.2,1033.5,1033.5,7627
1407704400000,1040,1071.9,1040,1055.4,13253
1407790800000,1050,1070,1027.9,1052.1,15203
1407877200000,1050,1067,1045.1,1056,2046
1407963600000,1047.5,1065.4,1040,1053.1,3752
1408050000000,1040.6,1060,1040,1041,3211
1408309200000,1025,1038.4,1025,1032,5929
1408395600000,1046.8,1100,1040,1090,15171
1408482000000,1081.3,1116.9,1081.3,1109.7,6577
1408568400000,1098.1,1103.3,1085.7,1089.2,10737
1408654800000,1085,1085,1041,1050.8,15774
1408914000000,1054,1066.9,1051,1060.7,2672
1409000400000,1062,1068,1056,1056,3465
1409086800000,1059.8,1062.1,1058,1062.1,457
1409173200000,1050.2,1060,1041,1055,10192
1409259600000,1047,1061.6,1044.9,1050,7012
1409518800000,1061.7,1061.7,1050.5,1055.5,184
1409605200000,1059.5,1092.9,1057.5,1087.6,1756
1409691600000,1089.9,1133.3,1079.8,1116.8,49804
1409778000000,1120.4,1133.9,1100.1,1119,13880
1409864400000,1109.9,1160,1106.3,1159.6,15060
1410123600000,1166.5,1537.8,1159.7,1173.7,12376
1410210000000,1170,1170,1157.3,1157.3,1918
1410296400000,1150.1,1168.5,1141.1,1149,3514
1410382800000,1154,1174,1148.5,1149.9,3651
1410469200000,1144.1,1200.9,1144.1,1173.7,4322
1410728400000,1187.7,1230,1175,1230,26905
1410814800000,1195.6,1549.9,1167.1,1176.8,41462
1410901200000,1189.5,1212.9,1165,1174.1,22337
1410987600000,1174.5,1205,1159.2,1164.1,17209
1411074000000,1162,1177,1121.6,1148.5,18414
1411333200000,1159.9,1179,1113,1135.2,9633
1411419600000,1115,1144.8,1103,1125,11478
1411506000000,1125,1146.4,1112,1130,12744
1411592400000,1140.6,1171.6,1140.6,1154,16407
1411678800000,1164.7,1168.8,1112.1,1162,8655
1411938000000,1163.9,1180,1120.6,1131.3,15825
1412024400000,1120,1160,1114.1,1130.7,18898
1412110800000,1110,1116,1077,1091,10870
1412197200000,1072,1076,1032,1035,9479
1412283600000,1065,1084,1056,1078,7461
1412542800000,1081,1107,1078,1082,12208
1412629200000,1077,1080,1060,1069,6037
1412715600000,1061,1061,1035,1036,5456
1412802000000,1047,1058,1037,1037,3451
1412888400000,1045,1046,1006,1011,4958
1413147600000,1027,1048,986,996,18937
1413234000000,1010,1050,1010,1050,17512
1413320400000,1031,1055,1001,1015,15854
1413406800000,1026,1049,1010,1035,11639
1413493200000,1040,1105,1040,1077,19695
1413752400000,1080,1092,1060,1072,7157
1413838800000,1078,1104,1076,1096,7164
1413925200000,1115,1127,1106,1125,12210
1414011600000,1113,1180,1075,1155,41504
1414098000000,1147,1168,1132,1142,11694
